[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 64
[ENV]: Finished init Environment
[TRAIN]: actions: 64, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -1.031323254108429, rates: 8.968676745891571, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/1600): reward: 17.7293698489666, rates: 25.7293698489666, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/1600): reward: -10.310933887958527, rates: 4.689066112041473, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/1600): reward: -9.05986200273037, rates: 1.9401379972696304, loss: 3.153534538605634, rho: 0.4000000000000001
[TRAIN]: (5/1600): reward: -6.579853951931, rates: 6.420146048069, loss: 2.373165476322174, rho: 0.4000000000000001
[TRAIN]: (6/1600): reward: -10.80688464641571, rates: 4.1931153535842896, loss: 2.2377844750881195, rho: 0.4000000000000001
[TRAIN]: (7/1600): reward: -9.95734690129757, rates: 5.042653098702431, loss: 2.0104157865047454, rho: 0.4000000000000001
[TRAIN]: (8/1600): reward: 6.034123990684748, rates: 16.034123990684748, loss: 1.7203191637992858, rho: 0.4000000000000001
[TRAIN]: (9/1600): reward: -0.5024239122867584, rates: 11.497576087713242, loss: 1.818239340186119, rho: 0.4000000000000001
[TRAIN]: (10/1600): reward: -12.803919792175293, rates: 5.196080207824707, loss: 1.750429740548134, rho: 0.4000000000000001
[TRAIN]: (11/1600): reward: -19.0, rates: 0, loss: 1.611277773976326, rho: 0.4000000000000001
[TRAIN]: (12/1600): reward: -8.708997249603271, rates: 5.2910027503967285, loss: 1.4122340738773347, rho: 0.4000000000000001
[TRAIN]: (13/1600): reward: 4.46098905056715, rates: 14.46098905056715, loss: 1.6420443832874299, rho: 0.4000000000000001
[TRAIN]: (14/1600): reward: 2.9925655350089073, rates: 15.992565535008907, loss: 1.5339243203401565, rho: 0.4000000000000001
[TRAIN]: (15/1600): reward: -12.461518257856369, rates: 3.538481742143631, loss: 1.9594867944717407, rho: 0.4000000000000001
[TRAIN]: (16/1600): reward: -5.00416687130928, rates: 5.99583312869072, loss: 1.599997055530548, rho: 0.4000000000000001
[TRAIN]: (17/1600): reward: -9.53931576013565, rates: 3.4606842398643494, loss: 1.5115171760320663, rho: 0.4000000000000001
[TRAIN]: (18/1600): reward: -13.936586536467075, rates: 0.06341346353292465, loss: 1.4816218137741088, rho: 0.4000000000000001
[TRAIN]: (19/1600): reward: -5.7103354930877686, rates: 6.2896645069122314, loss: 1.3848797976970673, rho: 0.4000000000000001
[TRAIN]: (20/1600): reward: -8.793621063232422, rates: 6.206378936767578, loss: 1.2445128843188287, rho: 0.4000000000000001
[TRAIN]: (21/1600): reward: -11.005860932171345, rates: 4.994139067828655, loss: 1.3519172430038453, rho: 0.4000000000000001
[TRAIN]: (22/1600): reward: 2.5994953513145447, rates: 14.599495351314545, loss: 1.20180786550045, rho: 0.4000000000000001
[TRAIN]: (23/1600): reward: -3.7980815917253494, rates: 9.20191840827465, loss: 1.4546017169952392, rho: 0.4000000000000001
[TRAIN]: (24/1600): reward: 1.8060077875852585, rates: 14.806007787585258, loss: 1.3787371277809144, rho: 0.4000000000000001
[TRAIN]: (25/1600): reward: -6.332008481025696, rates: 6.667991518974304, loss: 1.4764466911554337, rho: 0.4000000000000001
[TRAIN]: (26/1600): reward: -14.0, rates: 0, loss: 1.5834721803665162, rho: 0.4000000000000001
[TRAIN]: (27/1600): reward: -6.600582718849182, rates: 8.399417281150818, loss: 1.4873405188322066, rho: 0.4000000000000001
[TRAIN]: (28/1600): reward: -12.116698533296585, rates: 0.8833014667034149, loss: 1.3798454612493516, rho: 0.4000000000000001
[TRAIN]: (29/1600): reward: -10.526241227984428, rates: 5.473758772015572, loss: 1.4183367490768433, rho: 0.4000000000000001
[TRAIN]: (30/1600): reward: -0.07378995418548584, rates: 11.926210045814514, loss: 1.2738344356417657, rho: 0.4000000000000001
[TRAIN]: (31/1600): reward: -5.426587246358395, rates: 6.573412753641605, loss: 1.4297537446022033, rho: 0.4000000000000001
[TRAIN]: (32/1600): reward: 2.3888644464313984, rates: 12.388864446431398, loss: 1.4083574995398522, rho: 0.4000000000000001
