[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 257
[ENV]: Finished init Environment
[TRAIN]: actions: 257, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (1): action: 231, observation: (0, 1.1458618983614914, 0.5, 0.26362315964627936, 0.734538587778745, 1.5370301488735996, 8.825970813627409, 3.049094575393933, 23.684747595775022, 2.192598699854664, 3.8837813902377345, 7.770614362315104), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (1/2000): reward: 2.0619106888771057, rho: 0.5, rates: 0.8030955344438553
[TRAIN]: SAVE MODEL: best_reward: 0.10309553444385529
[TRAIN]: (2): action: 30, observation: (1, 0, 0.0, 0.6266593370554131, 0.6715216471094939, 0.8775581622482695, 29.376267170769495, 4.234224898614875, 10.111950402072189, 29.616126664738122, 29.042040949059942, 6.9428487722693655), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 210, observation: (1, 10.45051565875877, 0.5, 0.47423503226703945, 0.9760796408414529, 6.227712948419728, 1.741631185157804, 1.3825174512459648, 0.2997316365331749, 3.9031528926179186, 16.951079252520845, 20.543464076653745), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 248, observation: (1, 12.705884734346418, 0.5, 0.8326398218443715, 0.7216616485401907, 18.413997880596185, 29.820768248939093, 25.839105607169284, 1.7758681031866779, 23.878876074713272, 25.29837066987181, 0.06097354813942875), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 237, observation: (1, 9.50354868173966, 0.5, 0.2512005778642502, 0.9997867078044318, 15.340443060578444, 14.30261422308051, 24.84646373912428, 1.5409913574783012, 3.2403428226942443, 4.26899765583795, 17.38467042611), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 106, observation: (1, 7.976296918631135, 0.5, 0.7007720799470717, 0.5616404256475174, 7.8515528424702055, 1.5527656678934763, 3.5860695474181274, 2.335711436366908, 33.04937419795327, 4.600220571101303, 10.13678126269207), rho: 0.5, reward: 0.009472194127738476 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 37, observation: (1, 4.13933424518973, 0.5, 0.16614488437928054, 0.7940040091073374, 11.060910867804623, 1.3422672668281497, 0.6824411364034911, 8.975372881836668, 6.004838996410751, 7.332570157440924, 22.4334693330807), rho: 0.5, reward: 0.26046887040138245 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 2, observation: (1, 8.161009621731537, 0.5, 0.7445894016365148, 0.25501195101718777, 9.729849729545428, 11.17223703421068, 0.7072545104752737, 12.066522919040752, 3.304102105497998, 14.83897822836032, 2.164970295316816), rho: 0.5, reward: 1.518576979637146 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 145, observation: (1, 4.985041117781949, 0.5, 0.9066024534130788, 0.3851246449078517, 11.501570131319443, 15.388501945588917, 2.1006733011429937, 7.217212972381997, 3.503223308478253, 0.6623073466170819, 5.184485794740091), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 12, observation: (1, 0.3272854877249485, 0.5, 0.8045063847447079, 0.8420103792689544, 5.554933052148334, 1.9045263076277195, 24.644176669839037, 1.692286114806628, 4.1169823704422095, 10.283340198383868, 11.25614731767369), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 190, observation: (1, 8.013060568451657, 0.5, 0.010757279061970881, 0.15255063833157234, 5.052527182187441, 0.754569122486155, 16.094883891894398, 17.939037653849997, 2.649158349934677, 14.707059736797227, 3.0435050582846976), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 156, observation: (0, 0.12735540974146536, 0.5, 0.09831680062992432, 0.661577898372288, 2.1769079327784744, 11.16579915650431, 3.4745408160670848, 0.10665717722274677, 4.106729822179849, 3.4321645087637997, 23.620489383487985), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 39, observation: (0, 7.079787307098637, 0.5, 0.6457860277916779, 0.44347527029123535, 3.799099977671489, 29.44009271839932, 2.9089199106775343, 10.728523295080734, 5.625106753962564, 15.767442073108073, 38.26869243342099), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 112, observation: (0, 12.32412419115757, 0.5, 0.06752767196784304, 0.9103477626254965, 13.94430907781538, 12.190213826931375, 17.57074214078193, 4.365649262130185, 5.812487291244963, 3.744788195547529, 3.24783133791024), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 251, observation: (0, 1.4620008949571643, 0.5, 0.07819353210240532, 0.3675163690071377, 8.520604827156387, 2.309697452667572, 4.286713325673764, 2.391707578990143, 27.386296985840566, 28.082678171471258, 1.2731484689901327), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 98, observation: (0, 0.12616477247645025, 0.4386647724764503, 0.36716033646480584, 0.7552298922043488, 19.14831376190335, 12.827804237345614, 0.2755656259084345, 15.344045540916449, 18.389856704534257, 0.9061712465380329, 10.959906987833701), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 59, observation: (0, 3.853111013012034, 0.5, 0.5337302436168726, 0.8197659895215903, 7.206497297991083, 12.087124278094784, 9.118905778466594, 3.5408186650666735, 0.69645538357585, 2.1362606461997897, 5.885361497064338), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 191, observation: (0, 2.79744113456349, 0.5, 0.5890755751661296, 0.9227204282170355, 3.728713529528984, 23.88014937602182, 7.826548986107714, 7.93532777761021, 1.6558091641484676, 31.738247658359647, 19.694128466971886), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 200, observation: (0, 16.77991067448996, 0.5, 0.3509506618582827, 0.6356160905227913, 10.597334153368333, 9.427129433360474, 4.845029627101237, 13.432727523764958, 0.1680378119947096, 2.1631553499491134, 22.02230123832047), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 237, observation: (0, 6.44437406232974, 0.5, 0.8556386554119416, 0.30401820881021235, 35.2093408598856, 1.6020926780794058, 14.393688267097831, 7.679604880991908, 8.542688261525488, 32.324116923300046, 13.459249219455803), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2): action: 71, observation: (0, 12.619601805810602, 0.5, 0.7580851066368891, 0.794777341051855, 9.528134751731386, 20.21821790387421, 13.422552760622501, 3.119881010918433, 13.622632666712327, 3.293918787870658, 0.9155914828435435), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (2/2000): reward: -15.211481955833733, rho: 0.5, rates: 0.08942590220831334
[TRAIN]: (3): action: 176, observation: (1, 0, 0.0, 0.1419669520916409, 0.893709535492906, 10.387946725920877, 10.488027894629653, 13.03383922610547, 0.702684038789339, 4.135836025427857, 3.6208036475600776, 0.9602795111424333), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 202, observation: (1, 0.5690644967960814, 0.4128144967960814, 0.6504201010750064, 0.4300438351112381, 2.9667168347680666, 4.417285264366094, 9.161415145522469, 2.570403886788041, 8.970461065819645, 14.408375947439174, 3.295003401188747), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 62, observation: (1, 5.040451062410825, 0.5, 0.639785249227525, 0.8094950362250433, 5.800205578622556, 14.399152364845287, 6.026536270613837, 8.995609822977096, 4.644871158137934, 41.12008209996121, 1.5031544225341333), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 130, observation: (1, 12.533015510688283, 0.5, 0.09519605971772993, 0.5507257295808773, 19.795766174177068, 0.3422189641006504, 4.971351872727314, 1.4745606783951364, 4.073300140802371, 8.523051700444343, 1.2521542186463361), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 62, observation: (1, 0.44897615521748785, 0.5, 0.07526470955572717, 0.13872750401429867, 4.686294907344829, 4.705316210907093, 4.609047572399059, 0.8705570723515119, 3.156271718238129, 52.09833707148875, 26.107581312954032), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 62, observation: (1, 0.18192836876005278, 0.5, 0.6869689772226741, 0.2441157015166714, 1.1002360548126773, 7.668689079605708, 3.5808726663264547, 8.038110258144032, 3.7999959293692824, 21.707821932822604, 4.63304059089615), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 41, observation: (1, 6.820638901011917, 0.5, 0.36527646431974337, 0.7179707289664955, 11.969854679908101, 4.380419063353146, 45.09319379088854, 19.724820487787778, 25.912738214818635, 8.882408930280048, 2.5706910599584054), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 171, observation: (1, 0.8525594144382516, 0.5, 0.6165143306518988, 0.2519158604827737, 2.5173908253098523, 3.467187502410145, 0.9907761255195341, 28.816993672898022, 12.236266119342618, 0.35974792273250833, 34.47555355930663), rho: 0.5, reward: 0.23373864591121674 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 200, observation: (1, 0.2672096785346952, 0.5, 0.7575729458232465, 0.5699735988973784, 2.6029502706260264, 3.4963663805912497, 0.6262885388472585, 6.317961973698129, 11.009883973410572, 0.5816727600188133, 9.198049442652124), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 108, observation: (1, 2.6418907033802266, 0.5, 0.3200934028750735, 0.7484743197417314, 0.8093318051443288, 7.197511803799791, 6.823066053081953, 1.0010366044469605, 12.787598810451188, 2.4653198675711674, 5.82449619299012), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 53, observation: (0, 2.0812082907495797, 0.5, 0.303310276856506, 0.16083744934684074, 8.020841328422398, 4.82176096498425, 0.37861011529612587, 6.392033577488866, 20.423626267482604, 11.185666539227341, 3.396530141434748), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 12, observation: (0, 0.10887589565992667, 0.4057508956599267, 0.5954938291819323, 0.8329974157500478, 7.230732965738884, 11.636156732789654, 18.365574721584135, 1.9621077079210152, 11.171868300115706, 6.073147178566334, 4.750779268175202), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 240, observation: (0, 3.56206753437675, 0.5, 0.053151649845669224, 0.9057480673417759, 8.911325742131812, 7.965796995772089, 11.565674065315878, 5.425365250077502, 19.006257921759534, 14.7559313541576, 10.609200952582212), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 22, observation: (0, 4.427167528574202, 0.5, 0.13266556276357844, 0.4110126086927671, 26.67372960616095, 10.85951989187738, 2.731714184168865, 15.696926861145592, 4.864055118219699, 8.113779750205278, 8.533887588006762), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 254, observation: (0, 1.7047550260763078, 0.5, 0.4766510657038425, 0.8660241840648196, 3.94602314254805, 3.6800339497793733, 6.9713386304802825, 4.239611384245516, 22.665657908460734, 28.818029062339964, 5.364971591882309), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 148, observation: (0, 8.321841370039106, 0.5, 0.6865455657156669, 0.5449055294381847, 17.64476605422583, 0.667430882552156, 21.160722098672867, 4.792355103148961, 6.003644288081454, 7.141730065708812, 3.7222771305279996), rho: 0.5, reward: 6.714505672454834 - 1, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 183, observation: (0, 3.3162800073347, 0.5, 0.1273790066074052, 0.036339340738181236, 3.4536617872777953, 17.775720308661015, 22.680207280025808, 21.166693418094017, 52.40224865175081, 35.702039197427226, 32.89371955356923), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 234, observation: (0, 0.09750560244707812, 0.09750560244707818, 0.9946768797239877, 0.399533012276852, 15.370832049733298, 14.599335545796219, 4.55480764186259, 13.979819801830576, 15.132069042507464, 15.418729017878745, 23.791022253140838), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 72, observation: (0, 7.0207912941123025, 0.5, 0.2456698170197381, 0.5982746586465675, 2.755498752646428, 31.480586615287148, 7.667415648454994, 11.928608777622467, 6.032247026650511, 4.782877007709924, 3.566451627194418), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3): action: 191, observation: (0, 1.1223296863815486, 0.5, 0.7750577700684251, 0.8158202473818627, 4.524633239454659, 9.916082845876952, 0.05650490194430264, 0.11167484897156611, 3.8776814285000123, 9.892051085636865, 25.70812005006292), rho: 0.5, reward: -1.0 - 0, eps: 1.0, sample: -1, 
[TRAIN]: (3/2000): reward: -11.05175568163395, rho: 0.5, rates: 0.3474122159183025
