[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66
[ENV]: Finished init Environment
[TRAIN]: actions: 66, observations: 96
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -10.05021695792675, rates: 2.1516446471214294, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/1600): reward: -13.411798149347305, rates: 1.1924991607666016, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/1600): reward: -9.833828926086426, rates: 3.363212287425995, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/1600): reward: 2.7468971759080887, rates: 11.139804050326347, loss: 0.7265211028211257, rho: 0.4000000000000001
[TRAIN]: (5/1600): reward: -5.398191064596176, rates: 6.456420361995697, loss: 0.9589747756719589, rho: 0.4000000000000001
[TRAIN]: (6/1600): reward: -2.39649198949337, rates: 7.407926440238953, loss: 1.0385992705821991, rho: 0.4000000000000001
[TRAIN]: (7/1600): reward: -5.07529453933239, rates: 6.595802664756775, loss: 0.9621624857187271, rho: 0.4000000000000001
[TRAIN]: (8/1600): reward: -7.67724584043026, rates: 4.139810293912888, loss: 0.8459149584174156, rho: 0.4000000000000001
[TRAIN]: (9/1600): reward: -3.0030383467674255, rates: 8.350064218044281, loss: 0.8760320901870727, rho: 0.4000000000000001
[TRAIN]: (10/1600): reward: -4.029187918175012, rates: 3.238283321261406, loss: 0.7835577502846718, rho: 0.4000000000000001
[TRAIN]: (11/1600): reward: -7.964507393538952, rates: 1.9339629635214806, loss: 0.7290731057524681, rho: 0.4000000000000001
[TRAIN]: (12/1600): reward: -5.592843644320965, rates: 5.943363785743713, loss: 0.720595794916153, rho: 0.4000000000000001
[TRAIN]: (13/1600): reward: -4.411466434597969, rates: 6.964244902133942, loss: 0.5323083579540253, rho: 0.4000000000000001
[TRAIN]: (14/1600): reward: -4.824746549129486, rates: 6.8694323897361755, loss: 0.584273935854435, rho: 0.4000000000000001
[TRAIN]: (15/1600): reward: -8.628842167556286, rates: 2.0396758913993835, loss: 0.5404250822961331, rho: 0.4000000000000001
[TRAIN]: (16/1600): reward: -6.913733169436455, rates: 4.836266830563545, loss: 0.5074325770139694, rho: 0.4000000000000001
[TRAIN]: (17/1600): reward: -8.376312777400017, rates: 5.385384202003479, loss: 0.4648019388318062, rho: 0.4000000000000001
[TRAIN]: (18/1600): reward: -12.232784539461136, rates: 2.088820219039917, loss: 0.46288785636425017, rho: 0.4000000000000001
[TRAIN]: (19/1600): reward: -6.985441505908966, rates: 8.270569086074829, loss: 0.4551740512251854, rho: 0.4000000000000001
[TRAIN]: (20/1600): reward: -5.371573105454445, rates: 5.413559749722481, loss: 0.4468187168240547, rho: 0.4000000000000001
[TRAIN]: (21/1600): reward: -10.19407331943512, rates: 1.0559266805648804, loss: 0.47492513358592986, rho: 0.4000000000000001
[TRAIN]: (22/1600): reward: -10.59531506150961, rates: 1.6546849384903908, loss: 0.4322825536131859, rho: 0.4000000000000001
[TRAIN]: (23/1600): reward: 4.80938034504652, rates: 15.249719023704529, loss: 0.5062787145376205, rho: 0.4000000000000001
[TRAIN]: (24/1600): reward: -6.0974317863583565, rates: 6.152276515960693, loss: 0.4796741664409637, rho: 0.4000000000000001
[TRAIN]: (25/1600): reward: 0.23929131776094437, rates: 10.902788072824478, loss: 0.45860749781131743, rho: 0.4000000000000001
[TRAIN]: (26/1600): reward: -0.01699124276638031, rates: 9.160473823547363, loss: 0.45966184586286546, rho: 0.4000000000000001
[TRAIN]: (27/1600): reward: -10.842780381441116, rates: 3.412572592496872, loss: 0.6233615517616272, rho: 0.4000000000000001
[TRAIN]: (28/1600): reward: -11.408352229744196, rates: 0, loss: 0.5935154646635056, rho: 0.4000000000000001
[TRAIN]: (29/1600): reward: -12.528590112924576, rates: 0.6817348599433899, loss: 0.5569620072841645, rho: 0.4000000000000001
[TRAIN]: (30/1600): reward: 6.297424793243408, rates: 16.99509286880493, loss: 0.46677138954401015, rho: 0.4000000000000001
[TRAIN]: (31/1600): reward: -8.494636863470078, rates: 3.779481127858162, loss: 0.47791359275579454, rho: 0.4000000000000001
[TRAIN]: (32/1600): reward: -10.173014253377914, rates: 2.47723451256752, loss: 0.5046052277088166, rho: 0.4000000000000001
[TRAIN]: (33/1600): reward: 5.2412383407354355, rates: 14.866238340735435, loss: 0.4705061048269272, rho: 0.4000000000000001
[TRAIN]: (34/1600): reward: 6.528666105121374, rates: 13.558033872395754, loss: 0.5652865424752236, rho: 0.4000000000000001
[TRAIN]: (35/1600): reward: -9.02658576797694, rates: 3.9107849299907684, loss: 0.542285504937172, rho: 0.4000000000000001
[TRAIN]: (36/1600): reward: -8.970807500183582, rates: 4.4525004625320435, loss: 0.5189605414867401, rho: 0.4000000000000001
[TRAIN]: (37/1600): reward: -5.497875794768333, rates: 4.260355293750763, loss: 0.515895938873291, rho: 0.4000000000000001
[TRAIN]: (38/1600): reward: -5.051417720038444, rates: 7.017387974541634, loss: 0.5077517703175545, rho: 0.4000000000000001
[TRAIN]: (39/1600): reward: -2.6692974865436554, rates: 8.028700783848763, loss: 0.5304886475205421, rho: 0.4000000000000001
[TRAIN]: (40/1600): reward: -10.22225695848465, rates: 0, loss: 0.540034581720829, rho: 0.4000000000000001
[TRAIN]: (41/1600): reward: 1.1985664367675781, rates: 11.936824440956116, loss: 0.5094633385539055, rho: 0.4000000000000001
[TRAIN]: (42/1600): reward: 5.99622155725956, rates: 17.10671080648899, loss: 0.51900734603405, rho: 0.4000000000000001
[TRAIN]: (43/1600): reward: -13.71049527823925, rates: 1.7111462354660034, loss: 0.5087910786271095, rho: 0.4000000000000001
[TRAIN]: (44/1600): reward: -9.73244297504425, rates: 3.6425570249557495, loss: 0.5417930841445923, rho: 0.4000000000000001
[TRAIN]: (45/1600): reward: -11.06308263540268, rates: 4.393816947937012, loss: 0.4933926373720169, rho: 0.4000000000000001
[TRAIN]: (46/1600): reward: -2.312297612428665, rates: 9.300720542669296, loss: 0.43302426040172576, rho: 0.4000000000000001
[TRAIN]: (47/1600): reward: -5.325111523270607, rates: 5.735025510191917, loss: 0.5598540551960468, rho: 0.4000000000000001
[TRAIN]: (48/1600): reward: 3.2191886827349663, rates: 14.105385772883892, loss: 0.5230013206601143, rho: 0.4000000000000001
[TRAIN]: (49/1600): reward: -5.474771670997143, rates: 4.753168530762196, loss: 0.5076570868492126, rho: 0.4000000000000001
