[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66
[ENV]: Finished init Environment
[TRAIN]: actions: 66, observations: 80
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -77.16096448898315, rates: 0.8390356999180667, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/1600): reward: -72.09766241908073, rates: 2.902337505362306, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/1600): reward: -69.64372836053371, rates: 1.3562717212929736, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/1600): reward: -48.12394034862518, rates: 4.876059554685893, loss: 13.24909496307373, rho: 0.4000000000000001
[TRAIN]: (5/1600): reward: -54.962230175733566, rates: 3.037769602133377, loss: 10.01546597480774, rho: 0.4000000000000001
[TRAIN]: (6/1600): reward: -55.58599570393562, rates: 3.4140043637852013, loss: 5.968547511100769, rho: 0.4000000000000001
[TRAIN]: (7/1600): reward: -66.8472692668438, rates: 2.1527307749983065, loss: 2.6131608843803407, rho: 0.4000000000000001
[TRAIN]: (8/1600): reward: -71.29473602771759, rates: 1.7052641038336627, loss: 1.553412878513336, rho: 0.4000000000000001
[TRAIN]: (9/1600): reward: -56.58214730024338, rates: 3.417852714860376, loss: 1.4460778206586837, rho: 0.4000000000000001
[TRAIN]: (10/1600): reward: -55.060164362192154, rates: 2.939835369419369, loss: 1.213800236582756, rho: 0.4000000000000001
[TRAIN]: (11/1600): reward: -54.16274172067642, rates: 2.8372584402699053, loss: 1.173586231470108, rho: 0.4000000000000001
[TRAIN]: (12/1600): reward: -68.242391705513, rates: 1.7576082288803787, loss: 1.3566904336214065, rho: 0.4000000000000001
[TRAIN]: (13/1600): reward: -67.56577229499817, rates: 1.4342278001445583, loss: 1.1949871629476547, rho: 0.4000000000000001
[TRAIN]: (14/1600): reward: -58.3653529882431, rates: 2.6346469717992815, loss: 1.4997942358255387, rho: 0.4000000000000001
[TRAIN]: (15/1600): reward: -63.50050097703934, rates: 1.4994989470950637, loss: 1.4390454947948457, rho: 0.4000000000000001
[TRAIN]: (16/1600): reward: -57.56249397993088, rates: 2.4375060045879806, loss: 1.285931570827961, rho: 0.4000000000000001
[TRAIN]: (17/1600): reward: -76.03633362054825, rates: 1.9636662884172276, loss: 1.2466100364923478, rho: 0.4000000000000001
[TRAIN]: (18/1600): reward: -82.26159620285034, rates: 0.7384037517070416, loss: 1.2878705978393554, rho: 0.4000000000000001
[TRAIN]: (19/1600): reward: -75.68497323989868, rates: 2.3150267019997948, loss: 1.2187998726963998, rho: 0.4000000000000001
[TRAIN]: (20/1600): reward: -60.73905122280121, rates: 2.2609488623752365, loss: 1.3380054533481598, rho: 0.4000000000000001
[TRAIN]: (21/1600): reward: -56.46137955784798, rates: 1.538620613767499, loss: 1.328115952014923, rho: 0.4000000000000001
[TRAIN]: (22/1600): reward: -64.6827110350132, rates: 1.3172890042286163, loss: 1.404425859451294, rho: 0.4000000000000001
[TRAIN]: (23/1600): reward: -63.13743054866791, rates: 3.8625694282352345, loss: 1.1529453426599503, rho: 0.4000000000000001
[TRAIN]: (24/1600): reward: -71.92210304737091, rates: 2.077896967044609, loss: 1.3615299612283707, rho: 0.4000000000000001
[TRAIN]: (25/1600): reward: -65.88765175640583, rates: 3.1123481903948838, loss: 1.3653591185808183, rho: 0.4000000000000001
[TRAIN]: (26/1600): reward: -56.73517954349518, rates: 3.2648202247133136, loss: 1.4102244228124619, rho: 0.4000000000000001
[TRAIN]: (27/1600): reward: -75.74576711654663, rates: 1.2542329952557567, loss: 1.5294237971305846, rho: 0.4000000000000001
[TRAIN]: (28/1600): reward: -61.3067664206028, rates: 0.6932335935574574, loss: 1.31243936419487, rho: 0.4000000000000001
[TRAIN]: (29/1600): reward: -80.66589069366455, rates: 0.33410948168113536, loss: 1.5076824098825454, rho: 0.4000000000000001
[TRAIN]: (30/1600): reward: -57.571407198905945, rates: 3.428592960527313, loss: 1.3609166502952577, rho: 0.4000000000000001
[TRAIN]: (31/1600): reward: -63.118491634726524, rates: 1.8815083067216338, loss: 1.4067733585834503, rho: 0.4000000000000001
[TRAIN]: (32/1600): reward: -69.40342897176743, rates: 1.5965713312315808, loss: 1.4307874321937561, rho: 0.4000000000000001
[TRAIN]: (33/1600): reward: -41.974869072437286, rates: 4.025130860485927, loss: 1.2068314224481582, rho: 0.4000000000000001
[TRAIN]: (34/1600): reward: -43.69854009151459, rates: 4.301459834986207, loss: 1.2460367113351822, rho: 0.4000000000000001
[TRAIN]: (35/1600): reward: -65.02728229761124, rates: 2.972717520548585, loss: 1.2256066262722016, rho: 0.4000000000000001
[TRAIN]: (36/1600): reward: -72.68490344285965, rates: 2.3150966372341584, loss: 1.2571525275707245, rho: 0.4000000000000001
[TRAIN]: (37/1600): reward: -61.639063596725464, rates: 1.3609364219837794, loss: 1.2183760344982146, rho: 0.4000000000000001
[TRAIN]: (38/1600): reward: -66.7890430688858, rates: 2.2109570948228745, loss: 1.1839135140180588, rho: 0.4000000000000001
[TRAIN]: (39/1600): reward: -55.22663003206253, rates: 2.773369893311595, loss: 1.216965064406395, rho: 0.4000000000000001
[TRAIN]: (40/1600): reward: -57.461172342300415, rates: 0.5388277366488743, loss: 1.1166426301002503, rho: 0.4000000000000001
[TRAIN]: (41/1600): reward: -54.69333893060684, rates: 3.3066610826152756, loss: 1.2186134219169618, rho: 0.4000000000000001
[TRAIN]: (42/1600): reward: -54.86503878235817, rates: 6.134961116726267, loss: 1.2811996325850488, rho: 0.4000000000000001
[TRAIN]: (43/1600): reward: -77.39376258850098, rates: 1.6062375200272583, loss: 1.1597370237112046, rho: 0.4000000000000001
[TRAIN]: (44/1600): reward: -73.3739504814148, rates: 0.6260494054507528, loss: 1.2469517409801483, rho: 0.4000000000000001
[TRAIN]: (45/1600): reward: -77.88955461978912, rates: 1.110445545523942, loss: 1.2220370471477509, rho: 0.4000000000000001
[TRAIN]: (46/1600): reward: -65.53812788426876, rates: 4.461872087390996, loss: 1.3260106176137925, rho: 0.4000000000000001
[TRAIN]: (47/1600): reward: -66.31414265930653, rates: 1.6858573230972187, loss: 1.3095689058303832, rho: 0.4000000000000001
[TRAIN]: (48/1600): reward: -56.31717774271965, rates: 3.682822283879376, loss: 1.2150352597236633, rho: 0.4000000000000001
[TRAIN]: (49/1600): reward: -67.7867323756218, rates: 2.213267608240344, loss: 1.2987377509474753, rho: 0.4000000000000001
[TRAIN]: (50/1600): reward: -81.97073858976364, rates: 2.029261294364406, loss: 1.3190346330404281, rho: 0.4000000000000001
[TRAIN]: (51/1600): reward: -50.47128186933696, rates: 5.528717936156685, loss: 1.2851756036281585, rho: 0.4000000000000001
[TRAIN]: (52/1600): reward: -72.0588436126709, rates: 1.9411564697103412, loss: 1.2928309917449952, rho: 0.4000000000000001
[TRAIN]: (53/1600): reward: -69.98368632793427, rates: 2.016313752465905, loss: 1.2991020798683166, rho: 0.4000000000000001
[TRAIN]: (54/1600): reward: -72.70979535579681, rates: 3.2902045718314192, loss: 1.2930058985948563, rho: 0.4000000000000001
[TRAIN]: (55/1600): reward: -56.52019301056862, rates: 3.4798069398911453, loss: 1.4388868391513825, rho: 0.4000000000000001
[TRAIN]: (56/1600): reward: -70.65000136196613, rates: 1.3499984841857582, loss: 1.4644958436489106, rho: 0.4000000000000001
[TRAIN]: (57/1600): reward: -85.76509237289429, rates: 1.2349076612066614, loss: 1.239026379585266, rho: 0.4000000000000001
[TRAIN]: (58/1600): reward: -53.62474060058594, rates: 1.3752593204673154, loss: 1.4698887705802917, rho: 0.4000000000000001
[TRAIN]: (59/1600): reward: -58.472602009773254, rates: 3.527397884283472, loss: 1.3713378012180328, rho: 0.4000000000000001
[TRAIN]: (60/1600): reward: -76.15699434280396, rates: 1.84300570026689, loss: 1.285028411448002, rho: 0.4000000000000001
[TRAIN]: (61/1600): reward: -70.52173805236816, rates: 0.47826195946658834, loss: 1.363947993516922, rho: 0.4000000000000001
[TRAIN]: (62/1600): reward: -59.72137203812599, rates: 3.2786278665157873, loss: 1.381412297487259, rho: 0.4000000000000001
[TRAIN]: (63/1600): reward: -77.14484739303589, rates: 0.8551526760793732, loss: 1.3996851861476898, rho: 0.4000000000000001
[TRAIN]: (64/1600): reward: -65.42846697568893, rates: 1.571533025325073, loss: 1.3914677113294602, rho: 0.4000000000000001
[TRAIN]: (65/1600): reward: -69.04118967056274, rates: 2.9588104974447864, loss: 1.377457544207573, rho: 0.4000000000000001
[TRAIN]: (66/1600): reward: -71.59608578681946, rates: 0.40391411546746625, loss: 1.2534816294908524, rho: 0.4000000000000001
[TRAIN]: (67/1600): reward: -55.394756980240345, rates: 4.60524299629803, loss: 1.3772289842367171, rho: 0.4000000000000001
[TRAIN]: (68/1600): reward: -61.60119226574898, rates: 2.398807653471921, loss: 1.2924605548381805, rho: 0.4000000000000001
[TRAIN]: (69/1600): reward: -44.06639614701271, rates: 2.9336037205939496, loss: 1.2681690454483032, rho: 0.4000000000000001
[TRAIN]: (70/1600): reward: -61.3058260679245, rates: 3.6941737835705832, loss: 1.2255961626768113, rho: 0.4000000000000001
[TRAIN]: (71/1600): reward: -59.10344856977463, rates: 2.8965514625549984, loss: 1.2932760089635849, rho: 0.4000000000000001
[TRAIN]: (72/1600): reward: -58.990547835826874, rates: 3.009452130035095, loss: 1.2038969933986663, rho: 0.4000000000000001
[TRAIN]: (73/1600): reward: -54.47246104478836, rates: 2.5275387709599597, loss: 1.3013512730598449, rho: 0.4000000000000001
[TRAIN]: (74/1600): reward: -57.03458368778229, rates: 0.9654163562862934, loss: 1.105992814898491, rho: 0.4000000000000001
[TRAIN]: (75/1600): reward: -78.9577112197876, rates: 1.0422888250473934, loss: 1.257578244805336, rho: 0.4000000000000001
[TRAIN]: (76/1600): reward: -51.06645715236664, rates: 1.9335427380399737, loss: 1.3400674432516098, rho: 0.4000000000000001
[TRAIN]: (77/1600): reward: -57.10088063776493, rates: 3.8991191706022432, loss: 1.2184511512517928, rho: 0.4000000000000001
[TRAIN]: (78/1600): reward: -61.718195140361786, rates: 2.2818049968887237, loss: 1.317450487613678, rho: 0.4000000000000001
[TRAIN]: (79/1600): reward: -66.316286444664, rates: 1.6837135344840881, loss: 1.16975294649601, rho: 0.4000000000000001
[TRAIN]: (80/1600): reward: -76.38519304990768, rates: 0.6148068667197379, loss: 1.2729740738868713, rho: 0.4000000000000001
[TRAIN]: (81/1600): reward: -50.417554557323456, rates: 2.582445443209881, loss: 1.3797379046678544, rho: 0.4000000000000001
[TRAIN]: (82/1600): reward: -81.01017212867737, rates: 0.9898280409101992, loss: 1.228970143198967, rho: 0.4000000000000001
[TRAIN]: (83/1600): reward: -78.20687687397003, rates: 0.7931230259049168, loss: 1.2500681072473525, rho: 0.4000000000000001
[TRAIN]: (84/1600): reward: -69.34679228626192, rates: 1.653207707359337, loss: 1.2368922501802444, rho: 0.4000000000000001
[TRAIN]: (85/1600): reward: -74.89506477117538, rates: 1.1049354324534966, loss: 1.2984368652105331, rho: 0.4000000000000001
[TRAIN]: (86/1600): reward: -71.62059658765793, rates: 2.3794033446194036, loss: 1.362514039874077, rho: 0.4000000000000001
[TRAIN]: (87/1600): reward: -48.641523361206055, rates: 2.358476525375668, loss: 1.3023792654275894, rho: 0.4000000000000001
[TRAIN]: (88/1600): reward: -73.78177404403687, rates: 2.2182261015689875, loss: 1.3641175746917724, rho: 0.4000000000000001
[TRAIN]: (89/1600): reward: -63.88682705163956, rates: 3.1131732270891477, loss: 1.2869317144155503, rho: 0.4000000000000001
