[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66
[ENV]: Finished init Environment
[TRAIN]: actions: 66, observations: 96
[TRAIN]: CUDA: True
[TRAIN]: (1/2500): reward: -12.683804316446185, rates: 0.008652718737721443, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/2500): reward: -11.860775262117386, rates: 2.738607406616211, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/2500): reward: -9.045741066336632, rates: 4.182076096534729, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/2500): reward: 7.2670615911483765, rates: 15.892061591148376, loss: 0.9945642211857963, rho: 0.4000000000000001
[TRAIN]: (5/2500): reward: 0.4240189306437969, rates: 9.979461014270782, loss: 1.3515188694000244, rho: 0.4000000000000001
[TRAIN]: (6/2500): reward: -0.9083407148718834, rates: 8.737965025007725, loss: 1.4092297911643983, rho: 0.4000000000000001
[TRAIN]: (7/2500): reward: -6.3576038759201765, rates: 3.711004115641117, loss: 1.1912926465272904, rho: 0.4000000000000001
[TRAIN]: (8/2500): reward: -12.476865887641907, rates: 0.9408516883850098, loss: 0.960126519203186, rho: 0.4000000000000001
[TRAIN]: (9/2500): reward: -0.9160608295351267, rates: 9.904278993606567, loss: 0.908805763721466, rho: 0.4000000000000001
[TRAIN]: (10/2500): reward: -6.596804939210415, rates: 3.029649779200554, loss: 0.8438617348670959, rho: 0.4000000000000001
[TRAIN]: (11/2500): reward: -5.093327548354864, rates: 5.219648323953152, loss: 0.7962625592947006, rho: 0.4000000000000001
[TRAIN]: (12/2500): reward: -5.178029857575893, rates: 5.6638220846652985, loss: 0.7695970803499221, rho: 0.4000000000000001
[TRAIN]: (13/2500): reward: -11.309976141899824, rates: 2.440023858100176, loss: 0.6002053186297417, rho: 0.4000000000000001
[TRAIN]: (14/2500): reward: -3.7088679298758507, rates: 7.3932424783706665, loss: 0.5618170991539955, rho: 0.4000000000000001
[TRAIN]: (15/2500): reward: -10.187129840254784, rates: 0.4789600074291229, loss: 0.576614984869957, rho: 0.4000000000000001
[TRAIN]: (16/2500): reward: -5.597187723964453, rates: 4.753291457891464, loss: 0.5380323931574822, rho: 0.4000000000000001
[TRAIN]: (17/2500): reward: -6.310918606817722, rates: 6.137768626213074, loss: 0.5255804762244225, rho: 0.4000000000000001
[TRAIN]: (18/2500): reward: -11.995880708098412, rates: 1.9910742044448853, loss: 0.5733492776751519, rho: 0.4000000000000001
[TRAIN]: (19/2500): reward: -5.311399221420288, rates: 9.938600778579712, loss: 0.48571142107248305, rho: 0.4000000000000001
[TRAIN]: (20/2500): reward: -7.639271929860115, rates: 3.8492109179496765, loss: 0.5346320435404778, rho: 0.4000000000000001
[TRAIN]: (21/2500): reward: -7.025638610124588, rates: 2.8957599699497223, loss: 0.5573551535606385, rho: 0.4000000000000001
[TRAIN]: (22/2500): reward: -10.902179405093193, rates: 0.6581026315689087, loss: 0.4869439296424389, rho: 0.4000000000000001
[TRAIN]: (23/2500): reward: 3.362531628459692, rates: 13.88683795928955, loss: 0.5921838894486428, rho: 0.4000000000000001
[TRAIN]: (24/2500): reward: -3.4825142584741116, rates: 7.916901111602783, loss: 0.4896858736872673, rho: 0.4000000000000001
[TRAIN]: (25/2500): reward: 1.2012843564152718, rates: 12.587099492549896, loss: 0.5070394724607468, rho: 0.4000000000000001
[TRAIN]: (26/2500): reward: 2.0212451368570328, rates: 10.628626883029938, loss: 0.5025775030255317, rho: 0.4000000000000001
[TRAIN]: (27/2500): reward: -9.157793521881104, rates: 4.69785463809967, loss: 0.6390082135796546, rho: 0.4000000000000001
[TRAIN]: (28/2500): reward: -12.37760517001152, rates: 0, loss: 0.6302046194672585, rho: 0.4000000000000001
[TRAIN]: (29/2500): reward: -12.32013138383627, rates: 0, loss: 0.6186734467744828, rho: 0.4000000000000001
[TRAIN]: (30/2500): reward: 4.704108476638794, rates: 15.39211916923523, loss: 0.5243676960468292, rho: 0.4000000000000001
[TRAIN]: (31/2500): reward: -7.504475511610508, rates: 4.708202466368675, loss: 0.5136251509189605, rho: 0.4000000000000001
[TRAIN]: (32/2500): reward: -8.220785063691437, rates: 2.6887262165546417, loss: 0.5083891898393631, rho: 0.4000000000000001
[TRAIN]: (33/2500): reward: 6.134378671646118, rates: 15.304058015346527, loss: 0.5143019817769527, rho: 0.4000000000000001
[TRAIN]: (34/2500): reward: 9.479009008035064, rates: 14.448135666549206, loss: 0.5940047025680542, rho: 0.4000000000000001
[TRAIN]: (35/2500): reward: -3.822612039744854, rates: 8.379116840660572, loss: 0.6223786979913711, rho: 0.4000000000000001
[TRAIN]: (36/2500): reward: -7.81761858984828, rates: 4.272110939025879, loss: 0.5799410954117775, rho: 0.4000000000000001
[TRAIN]: (37/2500): reward: -7.41472340375185, rates: 1.6539251208305359, loss: 0.5446976885199547, rho: 0.4000000000000001
[TRAIN]: (38/2500): reward: -5.7827164232730865, rates: 6.55070948600769, loss: 0.5531061753630638, rho: 0.4000000000000001
[TRAIN]: (39/2500): reward: -2.569338195025921, rates: 7.580055043101311, loss: 0.5549419924616814, rho: 0.4000000000000001
[TRAIN]: (40/2500): reward: -10.804734699428082, rates: 0, loss: 0.5459455087780952, rho: 0.4000000000000001
