[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66
[ENV]: Finished init Environment
[TRAIN]: actions: 66, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (1/2500): reward: -13.238634794950485, rates: 0.7613652050495148, loss: 0, rho: 0.4000000000000001
[TRAIN]: (2/2500): reward: -13.948763251304626, rates: 2.0512367486953735, loss: 0, rho: 0.4000000000000001
[TRAIN]: (3/2500): reward: -2.0022352635860443, rates: 11.997764736413956, loss: 0, rho: 0.4000000000000001
[TRAIN]: (4/2500): reward: 14.468394860625267, rates: 23.468394860625267, loss: 2.1573830492356243, rho: 0.4000000000000001
[TRAIN]: (5/2500): reward: -3.949091013520956, rates: 9.050908986479044, loss: 2.552246552705765, rho: 0.4000000000000001
[TRAIN]: (6/2500): reward: -0.962848387658596, rates: 11.037151612341404, loss: 2.4588348090648653, rho: 0.4000000000000001
[TRAIN]: (7/2500): reward: -2.7533518075942993, rates: 10.2466481924057, loss: 2.2244800567626952, rho: 0.4000000000000001
[TRAIN]: (8/2500): reward: -6.510544538497925, rates: 8.489455461502075, loss: 2.21599617600441, rho: 0.4000000000000001
[TRAIN]: (9/2500): reward: 0.5350432395935059, rates: 13.535043239593506, loss: 2.2502732396125795, rho: 0.4000000000000001
[TRAIN]: (10/2500): reward: -6.215458245947957, rates: 5.784541754052043, loss: 2.3532223433256148, rho: 0.4000000000000001
[TRAIN]: (11/2500): reward: -7.792495459318161, rates: 5.207504540681839, loss: 2.2687802970409394, rho: 0.4000000000000001
[TRAIN]: (12/2500): reward: -11.160112380981445, rates: 3.8398876190185547, loss: 1.9808788537979125, rho: 0.4000000000000001
[TRAIN]: (13/2500): reward: -8.383162021636963, rates: 5.616837978363037, loss: 1.8986761420965195, rho: 0.4000000000000001
[TRAIN]: (14/2500): reward: -3.286492347717285, rates: 10.713507652282715, loss: 1.6738448858261108, rho: 0.4000000000000001
[TRAIN]: (15/2500): reward: -11.802945375442505, rates: 1.1970546245574951, loss: 1.8612672358751297, rho: 0.4000000000000001
[TRAIN]: (16/2500): reward: -8.240299478173256, rates: 3.759700521826744, loss: 1.421221736073494, rho: 0.4000000000000001
[TRAIN]: (17/2500): reward: -7.878033518791199, rates: 7.121966481208801, loss: 1.4326317131519317, rho: 0.4000000000000001
[TRAIN]: (18/2500): reward: -17.0, rates: 0, loss: 1.6411432147026062, rho: 0.4000000000000001
[TRAIN]: (19/2500): reward: -8.13023829460144, rates: 8.86976170539856, loss: 1.2132842004299165, rho: 0.4000000000000001
[TRAIN]: (20/2500): reward: -3.8601597994565964, rates: 6.139840200543404, loss: 1.433086559176445, rho: 0.4000000000000001
[TRAIN]: (21/2500): reward: -12.592341974377632, rates: 0.40765802562236786, loss: 1.3980036169290542, rho: 0.4000000000000001
[TRAIN]: (22/2500): reward: -13.339094400405884, rates: 0.6609055995941162, loss: 1.3466811418533324, rho: 0.4000000000000001
[TRAIN]: (23/2500): reward: -2.5549750328063965, rates: 11.445024967193604, loss: 1.4844631552696228, rho: 0.4000000000000001
[TRAIN]: (24/2500): reward: -5.007880210876465, rates: 8.992119789123535, loss: 1.1946781039237977, rho: 0.4000000000000001
[TRAIN]: (25/2500): reward: -4.63631334900856, rates: 9.36368665099144, loss: 1.2185933262109756, rho: 0.4000000000000001
[TRAIN]: (26/2500): reward: -1.8380978144705296, rates: 10.16190218552947, loss: 1.1328563928604125, rho: 0.4000000000000001
[TRAIN]: (27/2500): reward: -9.223950043320656, rates: 5.776049956679344, loss: 1.5396456226706505, rho: 0.4000000000000001
[TRAIN]: (28/2500): reward: -11.688435524702072, rates: 0.31156447529792786, loss: 1.52548106610775, rho: 0.4000000000000001
[TRAIN]: (29/2500): reward: -13.704939484596252, rates: 1.2950605154037476, loss: 1.5012921705842017, rho: 0.4000000000000001
[TRAIN]: (30/2500): reward: -5.757735252380371, rates: 8.242264747619629, loss: 1.0963367074728012, rho: 0.4000000000000001
[TRAIN]: (31/2500): reward: -8.29536359757185, rates: 5.70463640242815, loss: 1.3448191791772843, rho: 0.4000000000000001
[TRAIN]: (32/2500): reward: -16.90654355287552, rates: 0.0934564471244812, loss: 1.3953348875045777, rho: 0.4000000000000001
[TRAIN]: (33/2500): reward: 4.917994000017643, rates: 14.917994000017643, loss: 1.311057475209236, rho: 0.4000000000000001
[TRAIN]: (34/2500): reward: 1.4815510977059603, rates: 12.48155109770596, loss: 1.2494463428854943, rho: 0.4000000000000001
[TRAIN]: (35/2500): reward: -9.62564391642809, rates: 5.374356083571911, loss: 1.4273846089839934, rho: 0.4000000000000001
[TRAIN]: (36/2500): reward: -16.961771968752146, rates: 0.03822803124785423, loss: 1.4191586762666701, rho: 0.4000000000000001
[TRAIN]: (37/2500): reward: -6.147808417677879, rates: 5.852191582322121, loss: 1.0905528873205186, rho: 0.4000000000000001
[TRAIN]: (38/2500): reward: -4.691299915313721, rates: 10.30870008468628, loss: 1.435399916768074, rho: 0.4000000000000001
[TRAIN]: (39/2500): reward: -6.541150968521833, rates: 5.458849031478167, loss: 1.4601940035820007, rho: 0.4000000000000001
[TRAIN]: (40/2500): reward: -7.576471328735352, rates: 5.423528671264648, loss: 1.3759164571762086, rho: 0.4000000000000001
[TRAIN]: (41/2500): reward: 2.162321001291275, rates: 13.162321001291275, loss: 1.366650392115116, rho: 0.4000000000000001
[TRAIN]: (42/2500): reward: 2.4347945749759674, rates: 15.434794574975967, loss: 1.3672311931848526, rho: 0.4000000000000001
[TRAIN]: (43/2500): reward: -15.386383652687073, rates: 0.6136163473129272, loss: 1.483370691537857, rho: 0.4000000000000001
[TRAIN]: (44/2500): reward: -9.749454975128174, rates: 4.250545024871826, loss: 1.3056193426251412, rho: 0.4000000000000001
[TRAIN]: (45/2500): reward: -10.564577102661133, rates: 5.435422897338867, loss: 1.585782214999199, rho: 0.4000000000000001
[TRAIN]: (46/2500): reward: -8.180386543273926, rates: 7.819613456726074, loss: 1.321584442257881, rho: 0.4000000000000001
[TRAIN]: (47/2500): reward: -10.965201139450073, rates: 3.0347988605499268, loss: 1.5089639335870744, rho: 0.4000000000000001
[TRAIN]: (48/2500): reward: 4.5847879173234105, rates: 16.58478791732341, loss: 1.502954512834549, rho: 0.4000000000000001
[TRAIN]: (49/2500): reward: -6.6094079576432705, rates: 7.3905920423567295, loss: 1.259182332456112, rho: 0.4000000000000001
[TRAIN]: (50/2500): reward: -7.322992570698261, rates: 6.677007429301739, loss: 1.4725029855966567, rho: 0.4000000000000001
[TRAIN]: (51/2500): reward: 0.025030016899108887, rates: 12.025030016899109, loss: 1.33971778601408, rho: 0.4000000000000001
[TRAIN]: (52/2500): reward: -10.404914379119873, rates: 5.595085620880127, loss: 1.482598477602005, rho: 0.4000000000000001
[TRAIN]: (53/2500): reward: -9.648182541131973, rates: 6.351817458868027, loss: 1.5204747885465622, rho: 0.4000000000000001
[TRAIN]: (54/2500): reward: -1.7037858366966248, rates: 12.296214163303375, loss: 1.4135719984769821, rho: 0.4000000000000001
[TRAIN]: (55/2500): reward: 2.279635976999998, rates: 10.279635976999998, loss: 1.3328924179077148, rho: 0.4000000000000001
[TRAIN]: (56/2500): reward: -7.740142747759819, rates: 6.259857252240181, loss: 1.626567792892456, rho: 0.4000000000000001
[TRAIN]: (57/2500): reward: -14.666278004646301, rates: 1.3337219953536987, loss: 1.396005818247795, rho: 0.4000000000000001
[TRAIN]: (58/2500): reward: -9.086709517985582, rates: 1.9132904820144176, loss: 1.6814380288124084, rho: 0.4000000000000001
[TRAIN]: (59/2500): reward: -2.4936879128217697, rates: 10.50631208717823, loss: 1.5702250480651856, rho: 0.4000000000000001
[TRAIN]: (60/2500): reward: -13.277115106582642, rates: 3.7228848934173584, loss: 1.5292811185121535, rho: 0.4000000000000001
[TRAIN]: (61/2500): reward: -1.0266599655151367, rates: 11.973340034484863, loss: 1.7861280858516693, rho: 0.4000000000000001
[TRAIN]: (62/2500): reward: 8.98731316626072, rates: 20.98731316626072, loss: 1.6682003021240235, rho: 0.4000000000000001
[TRAIN]: (63/2500): reward: -17.0, rates: 0, loss: 1.6910290211439132, rho: 0.4000000000000001
