[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 257
[ENV]: Finished init Environment
[TRAIN_RISK_AVERSE]: CUDA: True
[TRAIN]: (54/1600): reward: 1.3223810642957687, rate: 14.322381019592285, td_error: -0.5000711952336132, rho: 20
[TRAIN]: (55/1600): reward: 7.3562541007995605, rate: 21.35625457763672, td_error: -0.30407929215580226, rho: 20
[TRAIN]: (56/1600): reward: 12.2601348310709, rate: 22.260135650634766, td_error: -0.41032313825562594, rho: 20
[TRAIN]: (57/1600): reward: 14.657876998186111, rate: 26.657878875732422, td_error: -0.3564152782782912, rho: 20
[TRAIN]: (58/1600): reward: -13.938046269118786, rate: 2.0619537830352783, td_error: -0.7157812714576721, rho: 20
[TRAIN]: (59/1600): reward: 4.972250109538436, rate: 15.972249984741211, td_error: -0.41023443881422283, rho: 20
[TRAIN]: (60/1600): reward: 21.619265181478113, rate: 31.619264602661133, td_error: -0.30873713344335557, rho: 20
[TRAIN]: (61/1600): reward: 1.037332970649004, rate: 16.03733253479004, td_error: -0.5596676072105765, rho: 20
[TRAIN]: (62/1600): reward: -14.181744396686554, rate: 3.818255662918091, td_error: -0.6456576220691204, rho: 20
[TRAIN]: (63/1600): reward: 23.284224957227707, rate: 35.28422546386719, td_error: -0.3406446101143956, rho: 20
[TRAIN]: (64/1600): reward: 13.798311561346054, rate: 26.79831314086914, td_error: -0.39857312887907026, rho: 20
[TRAIN]: (65/1600): reward: -13.256874561309814, rate: 5.7431254386901855, td_error: -0.6196857165545225, rho: 20
[TRAIN]: (66/1600): reward: -2.5942530632019043, rate: 14.405747413635254, td_error: -0.6679638221859932, rho: 20
[TRAIN]: (67/1600): reward: -10.840205729007721, rate: 6.159794330596924, td_error: -0.3524574365466833, rho: 20
[TRAIN]: (68/1600): reward: 3.5762111842632294, rate: 18.576210021972656, td_error: -0.48645282946527, rho: 20
[TRAIN]: (69/1600): reward: -7.895994663238525, rate: 9.104005813598633, td_error: -0.47943532951176165, rho: 20
[TRAIN]: (70/1600): reward: 10.510586868971586, rate: 23.510587692260742, td_error: -0.307348798122257, rho: 20
[TRAIN]: (71/1600): reward: -8.798697186633945, rate: 6.201303005218506, td_error: -0.6953214680776, rho: 20
[TRAIN]: (72/1600): reward: -4.853328932076693, rate: 9.146671295166016, td_error: -0.34474649280309677, rho: 20
[TRAIN]: (73/1600): reward: -7.5441102012991905, rate: 8.455889701843262, td_error: -0.5169703900814057, rho: 20
[TRAIN]: (74/1600): reward: 9.22619865089655, rate: 22.226200103759766, td_error: -0.36876322869211436, rho: 20
[TRAIN]: (75/1600): reward: 3.6697655022144318, rate: 17.66976547241211, td_error: -0.6296978794038296, rho: 20
[TRAIN]: (76/1600): reward: -11.289871454238892, rate: 5.7101287841796875, td_error: -0.6182704567909241, rho: 20
[TRAIN]: (77/1600): reward: 0.5175418853759766, rate: 14.517541885375977, td_error: -0.5212264519184828, rho: 20
[TRAIN]: (78/1600): reward: -7.769448310136795, rate: 8.230551719665527, td_error: -0.6011693951673805, rho: 20
[TRAIN]: (79/1600): reward: -1.2335997894406319, rate: 14.766400337219238, td_error: -0.6896384801715613, rho: 20
[TRAIN]: (80/1600): reward: 0.8112743198871613, rate: 15.811274528503418, td_error: -0.5223668664693832, rho: 20
[TRAIN]: (81/1600): reward: 1.1963885724544525, rate: 16.196388244628906, td_error: -0.47674360666424037, rho: 20
[TRAIN]: (82/1600): reward: -11.076536893844604, rate: 4.923462867736816, td_error: -0.6475383803248406, rho: 20
[TRAIN]: (83/1600): reward: 10.802596688270569, rate: 24.802597045898438, td_error: -0.5471197050064802, rho: 20
[TRAIN]: (84/1600): reward: 6.638072609901428, rate: 20.638072967529297, td_error: -0.6258299733512104, rho: 20
[TRAIN]: (85/1600): reward: 2.321673631668091, rate: 17.321674346923828, td_error: -0.38400546964257953, rho: 20
[TRAIN]: (86/1600): reward: -11.320946123450994, rate: 5.679053783416748, td_error: -0.5818286055698991, rho: 20
[TRAIN]: (87/1600): reward: -6.725739151239395, rate: 9.274260520935059, td_error: -0.6425208941102027, rho: 20
[TRAIN]: (88/1600): reward: -12.102311879396439, rate: 5.897687911987305, td_error: -0.43431692142039535, rho: 20
[TRAIN]: (89/1600): reward: -6.862017869949341, rate: 10.137982368469238, td_error: -0.5124593824148178, rho: 20
[TRAIN]: (90/1600): reward: -6.036455597728491, rate: 9.963544845581055, td_error: -0.5039526462554932, rho: 20
[TRAIN]: (91/1600): reward: 7.563394833356142, rate: 19.56339454650879, td_error: -0.6311865746974945, rho: 20
[TRAIN]: (92/1600): reward: 20.387964606285095, rate: 32.387962341308594, td_error: -0.23290082067251205, rho: 20
[TRAIN]: (93/1600): reward: 19.56003692559898, rate: 31.560035705566406, td_error: -0.5430764489807188, rho: 20
[TRAIN]: (94/1600): reward: 13.569192230701447, rate: 25.569190979003906, td_error: -0.31943807220086456, rho: 20
[TRAIN]: (95/1600): reward: -5.21932165697217, rate: 8.780677795410156, td_error: -0.4837478265166283, rho: 20
[TRAIN]: (96/1600): reward: -3.8763982355594635, rate: 10.123601913452148, td_error: -0.5366235200315714, rho: 20
[TRAIN]: (97/1600): reward: 11.596280261874199, rate: 24.59627914428711, td_error: -0.44336902555078267, rho: 20
[TRAIN]: (98/1600): reward: 17.045142352581024, rate: 30.045143127441406, td_error: -0.4360527615994215, rho: 20
[TRAIN]: (99/1600): reward: -1.6937998309731483, rate: 14.30620002746582, td_error: -0.4400435335934162, rho: 20
[TRAIN]: (100/1600): reward: 14.319091126322746, rate: 27.319091796875, td_error: -0.4654753960669041, rho: 20
[TRAIN]: (101/1600): reward: 15.587509579956532, rate: 27.587509155273438, td_error: -0.39000865127891304, rho: 20
[TRAIN]: (102/1600): reward: -6.067150790244341, rate: 9.932848930358887, td_error: -0.5646832343190908, rho: 20
[TRAIN]: (103/1600): reward: -10.266089379787445, rate: 5.73391056060791, td_error: -0.516008073091507, rho: 20
[TRAIN]: (104/1600): reward: 2.1796975135803223, rate: 18.179697036743164, td_error: -0.6281151629984378, rho: 20
[TRAIN]: (105/1600): reward: -10.006207048892975, rate: 6.99379301071167, td_error: -0.4358825786970556, rho: 20
[TRAIN]: (106/1600): reward: -12.106901943683624, rate: 4.893097877502441, td_error: -0.31033295691013335, rho: 20
[TRAIN]: (107/1600): reward: -8.40540075302124, rate: 9.594598770141602, td_error: -0.5368579485453665, rho: 20
[TRAIN]: (108/1600): reward: 0.34422627091407776, rate: 13.344226837158203, td_error: -0.35763523522764445, rho: 20
[TRAIN]: (109/1600): reward: 3.2039546966552734, rate: 19.203954696655273, td_error: -0.7483406921848654, rho: 20
[TRAIN]: (110/1600): reward: -9.595324291847646, rate: 6.404675483703613, td_error: -0.6699869226664305, rho: 20
[TRAIN]: (111/1600): reward: 2.704691559076309, rate: 17.70469093322754, td_error: -0.6483658043667674, rho: 20
[TRAIN]: (112/1600): reward: -0.7343327105045319, rate: 15.265667915344238, td_error: -0.5671147681772709, rho: 20
[TRAIN]: (113/1600): reward: -8.898144245147705, rate: 9.101856231689453, td_error: -0.7419245481491089, rho: 20
[TRAIN]: (114/1600): reward: 6.071606159210205, rate: 22.071605682373047, td_error: -0.4146090398542583, rho: 20
[TRAIN]: (115/1600): reward: -20.0, rate: 0, td_error: -0.5770524263381958, rho: 20
[TRAIN]: (116/1600): reward: -10.46446979045868, rate: 5.535530090332031, td_error: -0.5572118885815144, rho: 20
[TRAIN]: (117/1600): reward: -8.7358322404325, rate: 6.264167785644531, td_error: -0.4141157140955329, rho: 20
[TRAIN]: (118/1600): reward: -11.21756904758513, rate: 5.782431125640869, td_error: -0.35235021263360977, rho: 20
[TRAIN]: (119/1600): reward: -3.0599893033504486, rate: 12.940011024475098, td_error: -0.6753601539880038, rho: 20
[TRAIN]: (120/1600): reward: -0.08539507910609245, rate: 12.914606094360352, td_error: -0.5358343958854676, rho: 20
[TRAIN]: (121/1600): reward: 10.124738030135632, rate: 21.124736785888672, td_error: -0.3087927669286728, rho: 20
[TRAIN]: (122/1600): reward: -9.54454537667334, rate: 6.4554548263549805, td_error: -0.7440741119906307, rho: 20
[TRAIN]: (123/1600): reward: -2.5225124955177307, rate: 12.477487564086914, td_error: -0.5161438424140214, rho: 20
[TRAIN]: (124/1600): reward: -12.44576003961265, rate: 4.554239749908447, td_error: -0.7353634320199489, rho: 20
[TRAIN]: (125/1600): reward: 0.5556623935699463, rate: 16.555662155151367, td_error: -0.5053448079153895, rho: 20
[TRAIN]: (126/1600): reward: 1.5651884078979492, rate: 17.565187454223633, td_error: -0.4563213511370122, rho: 20
[TRAIN]: (127/1600): reward: -20.0, rate: 0, td_error: -0.5358343958854676, rho: 20
[TRAIN]: (128/1600): reward: -3.9211449027061462, rate: 11.078855514526367, td_error: -0.39057824527844787, rho: 20
[TRAIN]: (129/1600): reward: 1.8226595148444176, rate: 15.822660446166992, td_error: -0.7614973336458206, rho: 20
[TRAIN]: (130/1600): reward: -2.249080941081047, rate: 9.750919342041016, td_error: -0.6341563507914543, rho: 20
[TRAIN]: (131/1600): reward: 9.960713289678097, rate: 22.960712432861328, td_error: -0.5375649513676762, rho: 20
[TRAIN]: (132/1600): reward: 13.135675024241209, rate: 25.13567543029785, td_error: -0.2516759820282459, rho: 20
[TRAIN]: (133/1600): reward: -11.300208389759064, rate: 5.699791431427002, td_error: -0.4552229352295399, rho: 20
[TRAIN]: (134/1600): reward: -20.0, rate: 0, td_error: -0.6182704567909241, rho: 20
[TRAIN]: (135/1600): reward: 0.18225981295108795, rate: 16.182260513305664, td_error: -0.41322011267766356, rho: 20
[TRAIN]: (136/1600): reward: -4.495551705360413, rate: 10.504447937011719, td_error: -0.45614097733050585, rho: 20
[TRAIN]: (137/1600): reward: -7.77294316701591, rate: 7.227056980133057, td_error: -0.5125338792800903, rho: 20
[TRAIN]: (138/1600): reward: -3.739757005125284, rate: 10.26024341583252, td_error: -0.4943269744515419, rho: 20
[TRAIN]: (139/1600): reward: -7.791893318295479, rate: 8.208106994628906, td_error: -0.5462991381064057, rho: 20
[TRAIN]: (140/1600): reward: 12.501069217920303, rate: 24.501070022583008, td_error: -0.45593453384935856, rho: 20
[TRAIN]: (141/1600): reward: -11.22252543270588, rate: 5.777474403381348, td_error: -0.6645522175356746, rho: 20
[TRAIN]: (142/1600): reward: -9.639243811368942, rate: 6.360755920410156, td_error: -0.5765885291621089, rho: 20
[TRAIN]: (143/1600): reward: -5.973720170557499, rate: 10.02627944946289, td_error: -0.6275221090763807, rho: 20
[TRAIN]: (144/1600): reward: 24.978253737092018, rate: 32.97825622558594, td_error: -0.2766023088246584, rho: 20
[TRAIN]: (145/1600): reward: -8.797826290130615, rate: 9.202173233032227, td_error: -0.625371403619647, rho: 20
[TRAIN]: (146/1600): reward: -4.40031424164772, rate: 11.599685668945312, td_error: -0.5998647136613726, rho: 20
[TRAIN]: (147/1600): reward: 10.533189803361893, rate: 22.53318977355957, td_error: -0.42112402701750395, rho: 20
[TRAIN]: (148/1600): reward: 16.12511947005987, rate: 28.125120162963867, td_error: -0.44114523539319633, rho: 20
[TRAIN]: (149/1600): reward: 7.496868537738919, rate: 22.496868133544922, td_error: -0.4583590326830745, rho: 20
[TRAIN]: (150/1600): reward: 16.58228949457407, rate: 28.58228874206543, td_error: -0.27781616766005757, rho: 20
[TRAIN]: (151/1600): reward: -9.147747099399567, rate: 6.852252960205078, td_error: -0.524072727560997, rho: 20
[TRAIN]: (152/1600): reward: -3.509413167834282, rate: 11.49058723449707, td_error: -0.4324600338935852, rho: 20
[TRAIN]: (153/1600): reward: -17.919727206230164, rate: 1.0802727937698364, td_error: -0.5237498044967651, rho: 20
[TRAIN]: (154/1600): reward: 15.223946809768677, rate: 27.22394561767578, td_error: -0.42748573487624525, rho: 20
[TRAIN]: (155/1600): reward: 0.15351112931966782, rate: 14.153511047363281, td_error: -0.5229818379506469, rho: 20
[TRAIN]: (156/1600): reward: -8.452318824827671, rate: 7.547680854797363, td_error: -0.5762637516483664, rho: 20
[TRAIN]: (157/1600): reward: 3.2136597633361816, rate: 17.213659286499023, td_error: -0.3632796317338943, rho: 20
[TRAIN]: (158/1600): reward: 10.627691268920898, rate: 25.6276912689209, td_error: -0.45740458751097324, rho: 20
[TRAIN]: (159/1600): reward: 1.7852288261055946, rate: 14.785228729248047, td_error: -0.5266328565776348, rho: 20
[TRAIN]: (160/1600): reward: -6.8512500412762165, rate: 9.148750305175781, td_error: -0.6604208437725901, rho: 20
[TRAIN]: (161/1600): reward: 5.634798437356949, rate: 20.63479995727539, td_error: -0.49461636543273924, rho: 20
[TRAIN]: (162/1600): reward: -3.9209223091602325, rate: 11.07907772064209, td_error: -0.5834552526474, rho: 20
[TRAIN]: (163/1600): reward: -12.844827190041542, rate: 5.155172824859619, td_error: -0.49461636543273924, rho: 20
[TRAIN]: (164/1600): reward: 14.208207607269287, rate: 28.208208084106445, td_error: -0.4226260518655181, rho: 20
[TRAIN]: (165/1600): reward: 2.811707481741905, rate: 17.811708450317383, td_error: -0.48266739044338464, rho: 20
[TRAIN]: (166/1600): reward: -15.947531774640083, rate: 1.0524682998657227, td_error: -0.5991840556263923, rho: 20
[TRAIN]: (167/1600): reward: -3.79754376411438, rate: 13.202455520629883, td_error: -0.5456741371192038, rho: 20
[TRAIN]: (168/1600): reward: -11.891580156981945, rate: 5.108419895172119, td_error: -0.5022644843906164, rho: 20
[TRAIN]: (169/1600): reward: 22.219142634421587, rate: 34.21914291381836, td_error: -0.3738217713311315, rho: 20
[TRAIN]: (170/1600): reward: -11.703244000673294, rate: 4.296755790710449, td_error: -0.6384093470871448, rho: 20
[TRAIN]: (171/1600): reward: -2.030436187982559, rate: 11.969564437866211, td_error: -0.43718030452728274, rho: 20
[TRAIN]: (172/1600): reward: 13.534665375947952, rate: 25.534664154052734, td_error: -0.40432993704453113, rho: 20
[TRAIN]: (173/1600): reward: -5.437388323247433, rate: 9.56261157989502, td_error: -0.4071020737290382, rho: 20
[TRAIN]: (174/1600): reward: -8.476000174880028, rate: 6.52400016784668, td_error: -0.5814257457852363, rho: 20
[TRAIN]: (175/1600): reward: -13.443971760571003, rate: 4.556028366088867, td_error: -0.5823499076068401, rho: 20
[TRAIN]: (176/1600): reward: -6.057675361633301, rate: 11.9423246383667, td_error: -0.5370016245171427, rho: 20
[TRAIN]: (177/1600): reward: 8.119657039642334, rate: 22.119657516479492, td_error: -0.22583186579868197, rho: 20
[TRAIN]: (178/1600): reward: 3.2109215203672647, rate: 15.210922241210938, td_error: -0.42348547773435713, rho: 20
[TRAIN]: (179/1600): reward: -9.409104630351067, rate: 7.590895175933838, td_error: -0.5082528725266456, rho: 20
[TRAIN]: (180/1600): reward: -1.307626061141491, rate: 13.692374229431152, td_error: -0.5980227626860142, rho: 20
[TRAIN]: (181/1600): reward: 2.821019157767296, rate: 17.821020126342773, td_error: -0.4550582508556545, rho: 20
[TRAIN]: (182/1600): reward: 20.542261213064194, rate: 32.54226303100586, td_error: -0.6038849334232509, rho: 20
[TRAIN]: (183/1600): reward: 3.7523409128189087, rate: 16.75234031677246, td_error: -0.7681717559695244, rho: 20
[TRAIN]: (184/1600): reward: 1.5924007594585419, rate: 14.592401504516602, td_error: -0.3649018067866564, rho: 20
[TRAIN]: (185/1600): reward: -5.219785012304783, rate: 10.780214309692383, td_error: -0.4821888478472829, rho: 20
[TRAIN]: (186/1600): reward: -11.990085616707802, rate: 5.009914398193359, td_error: -0.4387165982276201, rho: 20
[TRAIN]: (187/1600): reward: 2.838475465774536, rate: 17.83847427368164, td_error: -0.3879856398329139, rho: 20
[TRAIN]: (188/1600): reward: -9.393488004803658, rate: 7.606512069702148, td_error: -0.7488804891705513, rho: 20
[TRAIN]: (189/1600): reward: -1.0927129089832306, rate: 12.90728759765625, td_error: -0.4364954840391874, rho: 20
[TRAIN]: (190/1600): reward: 16.49396874383092, rate: 25.493968963623047, td_error: -0.3870350981131196, rho: 20
[TRAIN]: (191/1600): reward: -17.411631494760513, rate: 0.5883685350418091, td_error: -0.6594884872436524, rho: 20
[TRAIN]: (192/1600): reward: 16.19173687696457, rate: 28.19173812866211, td_error: -0.37784095415845514, rho: 20
[TRAIN]: (193/1600): reward: -2.4037070274353027, rate: 14.596292495727539, td_error: -0.8290759488940239, rho: 20
[TRAIN]: (194/1600): reward: -5.7111005038022995, rate: 10.288899421691895, td_error: -0.4732531445100904, rho: 20
[TRAIN]: (195/1600): reward: 0.7402376681566238, rate: 15.740238189697266, td_error: -0.5194625018164516, rho: 20
[TRAIN]: (196/1600): reward: -11.049325741827488, rate: 5.950674057006836, td_error: -0.6015295773744583, rho: 20
[TRAIN]: (197/1600): reward: 6.906508389860392, rate: 19.906509399414062, td_error: -0.3371805302798748, rho: 20
[TRAIN]: (198/1600): reward: 9.567768335342407, rate: 19.567768096923828, td_error: -0.41373762749135495, rho: 20
[TRAIN]: (199/1600): reward: 4.810455311089754, rate: 16.810455322265625, td_error: -0.3215825490653515, rho: 20
[TRAIN]: (200/1600): reward: 8.103100754320621, rate: 20.103099822998047, td_error: -0.4389496983960271, rho: 20
[TRAIN]: (201/1600): reward: -8.068392638117075, rate: 7.931607246398926, td_error: -0.4852719848975539, rho: 20
[TRAIN]: (202/1600): reward: 2.0211032927036285, rate: 16.021102905273438, td_error: -0.5389215219765902, rho: 20
[TRAIN]: (203/1600): reward: 2.062507227063179, rate: 17.06250762939453, td_error: -0.4790551071986556, rho: 20
[TRAIN]: (204/1600): reward: -12.517438605427742, rate: 5.4825615882873535, td_error: -0.5621254038065672, rho: 20
[TRAIN]: (205/1600): reward: -6.030901536345482, rate: 9.969099044799805, td_error: -0.49972484577447174, rho: 20
[TRAIN]: (206/1600): reward: -18.853495493531227, rate: 0.1465045064687729, td_error: -0.7007065176963806, rho: 20
[TRAIN]: (207/1600): reward: -16.860185354948044, rate: 0.13981464505195618, td_error: -0.6520524263381958, rho: 20
[TRAIN]: (208/1600): reward: 16.416033193469048, rate: 28.416032791137695, td_error: -0.443470633495599, rho: 20
[TRAIN]: (209/1600): reward: -12.180711537599564, rate: 4.81928825378418, td_error: -0.4774776313453913, rho: 20
[TRAIN]: (210/1600): reward: -7.64939571917057, rate: 7.350604057312012, td_error: -0.5623268403112889, rho: 20
[TRAIN]: (211/1600): reward: 5.440562129020691, rate: 17.440561294555664, td_error: -0.3387218501418829, rho: 20
[TRAIN]: (212/1600): reward: 0.19372877478599548, rate: 15.19372844696045, td_error: -0.5099079927429557, rho: 20
[TRAIN]: (213/1600): reward: -18.55118790268898, rate: 0.4488120973110199, td_error: -0.453398334980011, rho: 20
[TRAIN]: (214/1600): reward: -3.9327957332134247, rate: 11.067204475402832, td_error: -0.5792795093730092, rho: 20
[TRAIN]: (215/1600): reward: -13.8403959274292, rate: 5.159604072570801, td_error: -0.453398334980011, rho: 20
[TRAIN]: (216/1600): reward: 6.318991422653198, rate: 20.31899070739746, td_error: -0.48530620262026786, rho: 20
[TRAIN]: (217/1600): reward: 4.372458249330521, rate: 19.37245750427246, td_error: -0.673728134483099, rho: 20
[TRAIN]: (218/1600): reward: -9.07922114431858, rate: 4.920778751373291, td_error: -0.47751389294862745, rho: 20
[TRAIN]: (219/1600): reward: 4.9098802506923676, rate: 18.909879684448242, td_error: -0.33656603991985323, rho: 20
[TRAIN]: (220/1600): reward: 17.016956195235252, rate: 29.016956329345703, td_error: -0.5423934558406472, rho: 20
[TRAIN]: (221/1600): reward: 7.72407066822052, rate: 21.724069595336914, td_error: -0.2940090406686068, rho: 20
[TRAIN]: (222/1600): reward: 5.171760022640228, rate: 17.17176055908203, td_error: -0.31357143819332123, rho: 20
[TRAIN]: (223/1600): reward: -7.603454768657684, rate: 9.39654541015625, td_error: -0.8670020204037427, rho: 20
[TRAIN]: (224/1600): reward: 0.8264245428144932, rate: 15.826423645019531, td_error: -0.49306585285812615, rho: 20
[TRAIN]: (225/1600): reward: -20.0, rate: 0, td_error: -0.7419245481491089, rho: 20
[TRAIN]: (226/1600): reward: -10.507826268672943, rate: 6.492173671722412, td_error: -0.4998475482687354, rho: 20
[TRAIN]: (227/1600): reward: -10.966768443584442, rate: 6.033231735229492, td_error: -0.5588070733472705, rho: 20
[TRAIN]: (228/1600): reward: -1.4468694925308228, rate: 14.553131103515625, td_error: -0.3957792735658586, rho: 20
[TRAIN]: (229/1600): reward: 0.33559350296854973, rate: 15.335593223571777, td_error: -0.3967465374618769, rho: 20
[TRAIN]: (230/1600): reward: -12.765554815530777, rate: 5.234445095062256, td_error: -0.3297442436218262, rho: 20
[TRAIN]: (231/1600): reward: -12.919749736785889, rate: 5.080250263214111, td_error: -0.5170631766319275, rho: 20
[TRAIN]: (232/1600): reward: -10.258872549980879, rate: 4.7411274909973145, td_error: -0.3117839843034744, rho: 20
[TRAIN]: (233/1600): reward: -5.860655702650547, rate: 10.139344215393066, td_error: -0.5645973617210984, rho: 20
[TRAIN]: (234/1600): reward: -11.56504401564598, rate: 5.434956073760986, td_error: -0.6611294776201249, rho: 20
[TRAIN]: (235/1600): reward: 4.661583870649338, rate: 18.661584854125977, td_error: -0.5900187846273184, rho: 20
[TRAIN]: (236/1600): reward: -8.457714691758156, rate: 7.542285442352295, td_error: -0.5165415538474918, rho: 20
[TRAIN]: (237/1600): reward: 0.5312844216823578, rate: 15.53128433227539, td_error: -0.39297498632222416, rho: 20
[TRAIN]: (238/1600): reward: -6.932917058467865, rate: 10.067083358764648, td_error: -0.6656783206388355, rho: 20
