[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 34, [(0.0, 1.0, 0.4), (1.0, 0.4375, 0.4), (1.0, 0.1875, 0.4), (1.0, 1.0, 0.4), (0.0, 0.125, 0.4), (1.0, 0.75, 0.4), (0.0, 0.0, 0.4), (0.0, 0.25, 0.4), (0.0, 0.625, 0.4), (0.0, 0.4375, 0.4), (0.0, 0.875, 0.4), (1.0, 0.0, 0.4), (1.0, 0.625, 0.4), (1.0, 0.8125, 0.4), (0.0, 0.9375, 0.4), (0.0, 0.75, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.6875, 0.4), (1.0, 0.0625, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.3125, 0.4), (0.0, 0.375, 0.4), (1.0, 0.125, 0.4), (0.0, 0.5, 0.4), (0.0, 0.5625, 0.4), (1.0, 0.25, 0.4), (1.0, 0.5, 0.4), (1.0, 0.375, 0.4), (1.0, 0.875, 0.4), (1.0, 0.5625, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.9375, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.1875, 0.4)]
[ENV]: Finished init Environment
[TRAIN]: actions: 34, observations: 12
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -8.229841709136963, rates: 6.7701582518396215, loss: 0, rho: 0.0, dynamic_rho: [[0.7085404848027897, 0.7501578306993106, 0.0032020770434008083, 0.1402510565146763, 0.7180318319937066, 0.377022374595958, 0.033989148704251515, 0.11374022164160902, 0.6005724054300353, 0.8992906663104366, 0.09116745243121249, 0.8111576117109804, 0.5681939477923117, 0.1311361338806345, 0.28723819131408357, 0.47106409016276063, 0.749560735718645, 0.2738546819522699, 0.5549368564532886, 0.8079436779186583]], transmit_actions: 11, P: [0.375, 0.1875, 0.875, 0.0, 0.75, 0.9375, 0.4375, 0.0, 0.3125, 0.0, 0.625, 0.3125, 0.3125, 0.5, 0.3125, 0.0, 0.875, 0.5, 0.1875, 0.5]
[TRAIN]: (2/1600): reward: 0.48577016592025757, rates: 7.48577004994304, loss: 0, rho: 0.0, dynamic_rho: [[0.9817584114029053, 0.7725507805064208, 0.5062569209429729, 0.008857285979039453, 0.8158825291515428, 0.9896814166463636, 0.9586815322956174, 0.39746629671094236, 0.8573604344655983, 0.32438110258786823, 0.2607139175678399, 0.7906493431697778, 0.2247802488181554, 0.8446795835994887, 0.6269090981588765, 0.9970199408647952, 0.4032539217081649, 0.1908304837038588, 0.9588972612597227, 0.3342894149426344]], transmit_actions: 7, P: [0.125, 0.5, 0.875, 0.875, 0.25, 0.5625, 0.1875, 0.75, 0.9375, 0.6875, 0.9375, 0.3125, 0.3125, 0.125, 0.5625, 0.5625, 0.125, 0.5625, 0.9375, 0.9375]
[TRAIN]: (3/1600): reward: 6.809982977807522, rates: 14.809983089494613, loss: 0, rho: 0.0, dynamic_rho: [[0.8256331355869997, 0.5592096758205456, 0.9634132666858028, 0.788708939092994, 0.27690534328650085, 0.17436268135568667, 0.4532031302489661, 0.7084070159617885, 0.8574254114079354, 0.655062207950591, 0.889651169645114, 0.04671436991826783, 0.9082878312097853, 0.4256160152182429, 0.9314122377267032, 0.03689600843628926, 0.8450890914535422, 0.5884456605503592, 0.5593527222433694, 0.8553551764251744]], transmit_actions: 14, P: [0.3125, 0.875, 0.6875, 0.6875, 0.0625, 0.0625, 0.3125, 0.1875, 0.3125, 0.5, 0.0625, 0.8125, 0.9375, 0.3125, 0.5, 0.125, 0.375, 1.0, 0.625, 0.0]
[TRAIN]: (4/1600): reward: 2.255740165710449, rates: 9.255740152180042, loss: 4.0281396893893975, rho: 0.0, dynamic_rho: [[0.5106067951455782, 0.4243513941097973, 0.5866449634874666, 0.9461085090008353, 0.6131384845220821, 0.49354031493388173, 0.733551856294427, 0.8247068917662582, 0.970298995994857, 0.25632984855557417, 0.3449183668871978, 0.09091918046402858, 0.659051977645647, 0.7126366690706492, 0.5782345954216803, 0.20964634925618764, 0.18419218605284837, 0.295300891310208, 0.8165219776448822, 0.7541237907438245]], transmit_actions: 9, P: [1.0, 1.0, 0.6875, 0.9375, 0.625, 0.4375, 0.5625, 0.875, 0.5625, 0.8125, 0.0, 0.5, 0.875, 0.3125, 0.5625, 1.0, 0.9375, 0.6875, 0.5625, 0.5625]
[TRAIN]: (5/1600): reward: -9.913164030760527, rates: 0.08683596849360978, loss: 3.6707874655723574, rho: 0.0, dynamic_rho: [[0.8722817442284774, 0.7905710719143368, 0.2662143602467868, 0.9726861454298249, 0.5850648364143186, 0.2715649973308396, 0.6821007960677249, 0.5543668279478674, 0.008525297917860608, 0.02333513874906923, 0.872662210226443, 0.33042115194117105, 0.11063104725208339, 0.49374482486576887, 0.6431978331999443, 0.5206394983927745, 0.4171354626925018, 0.20167785143243444, 0.49443451960161067, 0.9921030080878075]], transmit_actions: 9, P: [0.9375, 0.5625, 0.4375, 0.1875, 0.375, 0.3125, 0.375, 0.0, 0.5625, 0.75, 0.875, 0.25, 0.5, 0.8125, 0.6875, 0.5, 0.6875, 0.5, 0.1875, 0.0625]
[TRAIN]: (6/1600): reward: -8.481349229812622, rates: 2.5186508317493277, loss: 3.151435971260071, rho: 0.0, dynamic_rho: [[0.6733073131727034, 0.9370454509518497, 0.8439756391846317, 0.688332431978858, 0.3673184862131271, 0.49457191065885286, 0.27721358977373733, 0.42544601151135397, 0.3756304045462745, 0.9577286578792149, 0.300785359035567, 0.02607113169591424, 0.9886055655918488, 0.7321943780590727, 0.005930671640661078, 0.8721671866546287, 0.6867092339350763, 0.61634182842556, 0.4118022747659511, 0.3041179843270897]], transmit_actions: 10, P: [0.3125, 1.0, 0.875, 0.0625, 0.875, 0.625, 0.25, 0.9375, 0.25, 0.375, 0.5, 0.9375, 0.5625, 0.8125, 0.8125, 0.8125, 0.5, 0.25, 0.8125, 0.375]
[TRAIN]: (7/1600): reward: -1.4775400161743164, rates: 7.522460086817352, loss: 3.0607423305511476, rho: 0.0, dynamic_rho: [[0.7726697606492153, 0.766285965865778, 0.6936179882829412, 0.7589845581139635, 0.6512590917825148, 0.9430414643280479, 0.9280637905153165, 0.42102610679123165, 0.5177276657674323, 0.07282503411461483, 0.32204535159610503, 0.06650724599734226, 0.7029895442223005, 0.9368629913921176, 0.9065397644031369, 0.5929755148892117, 0.6428041204881488, 0.006271277704754663, 0.21761496888428877, 0.8514000490309086]], transmit_actions: 11, P: [0.0625, 0.875, 0.0, 1.0, 0.4375, 0.125, 0.6875, 0.0625, 0.6875, 0.5, 0.0, 0.625, 0.0625, 0.875, 0.9375, 0.6875, 0.25, 0.25, 0.3125, 1.0]
[TRAIN]: (8/1600): reward: 3.7960220277309418, rates: 13.796022304154219, loss: 2.9757094502449037, rho: 0.0, dynamic_rho: [[0.3078211032399507, 0.3307014242674139, 0.42901140564514995, 0.3042314181047848, 0.44590619471939485, 0.6067153371424777, 0.4231762484780841, 0.19346838083328943, 0.4039250053638417, 0.5790492878340182, 0.22342349975107223, 0.6095499441758586, 0.35152943738176456, 0.06445871641645906, 0.1096682890319185, 0.7281472355154074, 0.8012049201688922, 0.8541888108839426, 0.1171173323844763, 0.9419910595539305]], transmit_actions: 8, P: [0.5, 0.0, 0.875, 0.4375, 0.25, 0.1875, 0.5625, 0.125, 0.6875, 0.125, 0.0625, 0.125, 0.1875, 0.4375, 0.1875, 0.4375, 0.125, 0.0625, 0.375, 0.5625]
[TRAIN]: (9/1600): reward: 11.020416602492332, rates: 18.02041682927746, loss: 3.203952333331108, rho: 0.0, dynamic_rho: [[0.26374914830048213, 0.36222113823569135, 0.59277648512136, 0.19074399844761758, 0.7752217792880702, 0.4241547064437373, 0.2659139705530561, 0.15707549319549063, 0.8654174226583742, 0.12921951104452123, 0.49589000713240994, 0.6782386823220214, 0.7630196975047235, 0.23588627442535093, 0.7796396507354442, 0.8315553075202793, 0.35733420518051706, 0.8185427268218737, 0.9282270487114054, 0.915691637409711]], transmit_actions: 8, P: [0.0625, 0.8125, 0.0, 0.0625, 0.5, 1.0, 0.4375, 1.0, 0.75, 0.1875, 0.5625, 0.25, 1.0, 0.25, 0.125, 0.0625, 0.1875, 0.0625, 0.6875, 0.625]
[TRAIN]: (10/1600): reward: -3.6338874101638794, rates: 7.366112632802464, loss: 3.2614078760147094, rho: 0.0, dynamic_rho: [[0.7881039281474306, 0.6698191469350421, 0.23710454482932686, 0.3115370048175806, 0.16254150359421193, 0.8134383677809338, 0.6304283653903864, 0.10032703858959169, 0.1430756117346228, 0.15496622692275075, 0.05673839554987126, 0.2778083457644972, 0.7804595489679115, 0.7611137380798525, 0.09945585543422586, 0.42272053568810286, 0.9816365705146028, 0.7371139785382541, 0.7082379407251217, 0.5158081238425891]], transmit_actions: 12, P: [0.125, 0.5625, 1.0, 0.3125, 0.8125, 0.875, 0.125, 0.6875, 0.8125, 0.1875, 0.625, 0.25, 0.4375, 0.0625, 0.3125, 0.875, 0.375, 0.625, 0.125, 0.0]
[TRAIN]: (11/1600): reward: -10.929027755744755, rates: 0.07097224521066701, loss: 2.457580202817917, rho: 0.0, dynamic_rho: [[0.1767951372793689, 0.44879806361328467, 0.8527072256924709, 0.7120448503238432, 0.9170917001281241, 0.5780055984351267, 0.6437888038701315, 0.1728277854430198, 0.8583336315871373, 0.9220601306113, 0.1669701208975315, 0.7116581389648913, 0.34510437353372403, 0.11086473310556877, 0.0620115559059925, 0.35236138020203744, 0.7916255041747693, 0.4069866972725733, 0.017714785481252493, 0.6160780056277915]], transmit_actions: 8, P: [0.375, 1.0, 0.6875, 0.8125, 0.0625, 0.5625, 0.9375, 0.0625, 0.375, 0.25, 0.625, 0.125, 0.3125, 0.25, 0.4375, 0.4375, 0.0625, 0.5, 0.75, 0.875]
[TRAIN]: (12/1600): reward: -15.0, rates: 0, loss: 3.785677433013916, rho: 0.0, dynamic_rho: [[0.7266079479871876, 0.5315091646146548, 0.11797049856277064, 0.8596101151448187, 0.11017621985556025, 0.9206939123706958, 0.0929672718382023, 0.8837941261383446, 0.030560552080573622, 0.8440396839789059, 0.056930092419255174, 0.38128062952252073, 0.9163863873473757, 0.3386482053650365, 0.5710348410506234, 0.9165057154496488, 0.628588452775716, 0.14709692892660253, 0.9709769439736178, 0.023503869491947382]], transmit_actions: 13, P: [0.375, 0.125, 0.625, 0.0, 0.9375, 0.375, 0.6875, 0.6875, 0.0625, 0.3125, 0.4375, 0.4375, 0.1875, 0.6875, 0.875, 0.125, 0.3125, 0.6875, 0.4375, 0.625]
[TRAIN]: (13/1600): reward: -4.703520119190216, rates: 6.296479735838756, loss: 3.559366500377655, rho: 0.0, dynamic_rho: [[0.21029344127988514, 0.9494018881063861, 0.6271244377189501, 0.21842781856940852, 0.1312447094820307, 0.3988944576741352, 0.4699888525344298, 0.8741620179904576, 0.7477922864915205, 0.79274673624887, 0.4856196255823948, 0.7629125831760923, 0.01828600780921119, 0.5710041486856806, 0.793354797565098, 0.714747289574527, 0.37049783417950277, 0.21764796008245402, 0.9200765513911299, 0.5950501385309287]], transmit_actions: 8, P: [0.8125, 0.375, 0.4375, 0.4375, 0.75, 0.75, 0.375, 1.0, 0.4375, 0.6875, 0.8125, 0.4375, 0.4375, 0.0, 0.6875, 0.4375, 0.3125, 0.0625, 0.25, 0.6875]
