[TRAIN]: (37/1600): reward: -12.0, rate: 0, td_error: -0.553398334980011, rho: 0.4
[TRAIN]: (38/1600): reward: -1.2705817744135857, rate: 7.7294182777404785, td_error: -0.3167728279717267, rho: 0.4
[TRAIN]: (39/1600): reward: -6.043426513671875, rate: 3.956573486328125, td_error: -0.5209622740745544, rho: 0.4
[TRAIN]: (40/1600): reward: -9.473444104194641, rate: 0.5265558958053589, td_error: -0.5901754811406136, rho: 0.4
[TRAIN]: (41/1600): reward: -6.185343980789185, rate: 5.8146562576293945, td_error: -0.5473226144909858, rho: 0.4
[TRAIN]: (42/1600): reward: -3.5747008323669434, rate: 5.425299167633057, td_error: -0.5047442436218261, rho: 0.4
[TRAIN]: (43/1600): reward: -5.823902606964111, rate: 5.176097393035889, td_error: -0.6358343958854675, rho: 0.4
[TRAIN]: (44/1600): reward: -8.976985706016421, rate: 0.023014293983578682, td_error: -0.5044582143425942, rho: 0.4
[TRAIN]: (45/1600): reward: 3.392566554248333, rate: 10.392566680908203, td_error: -0.25045796725898983, rho: 0.4
[TRAIN]: (46/1600): reward: -11.781461030244827, rate: 0.21853896975517273, td_error: -0.40474424362182615, rho: 0.4
[TRAIN]: (47/1600): reward: -3.3172096014022827, rate: 6.682790279388428, td_error: -0.7290340116247535, rho: 0.4
[TRAIN]: (48/1600): reward: 6.9911088943481445, rate: 14.991107940673828, td_error: -0.46974060535430906, rho: 0.4
[TRAIN]: (49/1600): reward: -7.033844709396362, rate: 6.966155052185059, td_error: -0.5943856969475746, rho: 0.4
[TRAIN]: (50/1600): reward: -12.0, rate: 0, td_error: -0.6696163654327393, rho: 0.4
[TRAIN]: (51/1600): reward: -12.635543465614319, rate: 0.36445653438568115, td_error: -0.4278421550989151, rho: 0.4
[TRAIN]: (52/1600): reward: 11.743814945220947, rate: 16.74381446838379, td_error: -0.3205698423087597, rho: 0.4
[TRAIN]: (53/1600): reward: -2.6368877291679382, rate: 7.363112449645996, td_error: -0.48528046160936356, rho: 0.4
[TRAIN]: (54/1600): reward: -15.0, rate: 0, td_error: -0.5209622740745544, rho: 0.4
[TRAIN]: (55/1600): reward: -12.0, rate: 0, td_error: -0.32230818271636963, rho: 0.4
[TRAIN]: (56/1600): reward: -11.0, rate: 0, td_error: -0.5047442436218261, rho: 0.4
[TRAIN]: (57/1600): reward: -8.609875321388245, rate: 0.39012467861175537, td_error: -0.5621803045272827, rho: 0.4
[TRAIN]: (58/1600): reward: -3.4343825206160545, rate: 5.565617561340332, td_error: -0.6112264234572649, rho: 0.4
[TRAIN]: (59/1600): reward: -8.634208358824253, rate: 0.3657916486263275, td_error: -0.41217418313026427, rho: 0.4
[TRAIN]: (60/1600): reward: 10.744625806808472, rate: 17.744625091552734, td_error: -0.32126183360815047, rho: 0.4
