[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 34
[ENV]: Finished init Environment
[TRAIN]: actions: 34, observations: 80
[TRAIN]: CUDA: True
[TRAIN]: (16/1600): reward: -81.63307476043701, rates: 0.3669252478860977, loss: 1.2824843615293502, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 8, P: [0.1875, 0.75, 0.3125, 0.25, 0.25, 0.0, 0.375, 0.4375, 1.0, 0.6875, 0.8125, 0.0625, 0.0, 0.875, 0.8125, 0.3125, 0.5, 0.5625, 0.125, 0.5]
[TRAIN]: (17/1600): reward: -73.92297750711441, rates: 1.0770224992599684, loss: 1.2289850160479545, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 13, P: [0.8125, 0.125, 0.8125, 0.9375, 0.8125, 0.75, 0.0, 0.0625, 0.375, 0.3125, 1.0, 0.625, 0.1875, 0.375, 1.0, 0.75, 0.6875, 0.75, 0.875, 0.0625]
[TRAIN]: (18/1600): reward: -66.35192456841469, rates: 2.648075497854033, loss: 1.260356280207634, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 11, P: [0.625, 0.1875, 0.5, 0.0, 0.8125, 0.5625, 1.0, 0.8125, 0.3125, 0.25, 0.9375, 0.6875, 0.8125, 0.5625, 0.3125, 0.4375, 0.375, 0.125, 0.4375, 0.1875]
[TRAIN]: (19/1600): reward: -71.15044975280762, rates: 1.8495502740712422, loss: 1.340823233127594, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 6, P: [0.25, 0.3125, 0.625, 0.1875, 0.5625, 0.125, 0.3125, 0.875, 0.5625, 0.0, 0.25, 0.0625, 0.5, 0.625, 0.5625, 0.4375, 0.1875, 0.375, 0.0625, 0.75]
[TRAIN]: (20/1600): reward: -56.54819720983505, rates: 2.451802770761232, loss: 1.1172299921512603, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 12, P: [0.0, 0.5, 0.875, 0.0, 0.25, 0.125, 1.0, 0.25, 0.5625, 0.0625, 0.0, 0.3125, 0.5625, 0.625, 0.3125, 0.5625, 0.75, 0.875, 0.6875, 0.5]
[TRAIN]: (21/1600): reward: -65.9297439455986, rates: 2.070256133894418, loss: 1.126133194565773, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 13, P: [0.5625, 0.3125, 0.375, 0.125, 0.125, 0.25, 0.625, 0.4375, 0.25, 1.0, 0.625, 0.8125, 0.875, 0.25, 0.4375, 0.8125, 0.0625, 0.0, 0.6875, 0.4375]
[TRAIN]: (22/1600): reward: -71.35735128819942, rates: 1.6426484827253671, loss: 1.0784126371145248, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 13, P: [0.875, 0.5625, 0.0625, 0.4375, 0.4375, 0.25, 0.875, 0.25, 0.875, 0.4375, 0.8125, 0.6875, 0.9375, 0.1875, 0.6875, 0.6875, 1.0, 0.5625, 0.875, 0.1875]
[TRAIN]: (23/1600): reward: -58.86261838674545, rates: 2.13738133784375, loss: 1.2557358995079995, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 9, P: [0.75, 0.75, 0.375, 0.625, 0.0, 1.0, 0.9375, 0.25, 0.5625, 0.75, 0.3125, 0.0625, 0.1875, 1.0, 0.0, 0.375, 1.0, 0.875, 0.75, 0.1875]
[TRAIN]: (24/1600): reward: -65.68973869085312, rates: 2.310261236879707, loss: 1.1914661943912506, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 14, P: [0.3125, 0.875, 0.3125, 0.875, 0.875, 0.625, 0.25, 0.25, 0.25, 0.875, 0.375, 0.875, 0.3125, 0.875, 0.4375, 0.75, 0.8125, 0.1875, 0.3125, 0.9375]
[TRAIN]: (25/1600): reward: -58.25997257232666, rates: 1.7400274605075, loss: 1.0330590277910232, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 9, P: [0.9375, 0.75, 0.5, 0.0, 1.0, 0.3125, 1.0, 0.4375, 0.125, 0.0, 0.75, 0.3125, 0.875, 0.375, 0.1875, 0.3125, 0.75, 0.5, 0.8125, 0.25]
[TRAIN]: (26/1600): reward: -58.2129243016243, rates: 2.7870757194713516, loss: 1.2056503415107727, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 11, P: [0.625, 1.0, 0.8125, 0.0625, 0.625, 0.0, 0.8125, 0.5625, 0.4375, 0.6875, 0.125, 0.5625, 0.9375, 0.5, 0.9375, 0.0, 0.4375, 0.6875, 0.8125, 0.125]
[TRAIN]: (27/1600): reward: -52.56913436204195, rates: 4.4308656769931645, loss: 1.2660238951444627, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 11, P: [0.5, 0.4375, 0.0, 0.9375, 0.8125, 0.75, 1.0, 0.5625, 0.375, 0.8125, 0.875, 0.0625, 0.125, 0.1875, 0.5, 0.0625, 0.875, 0.625, 0.8125, 0.0625]
[TRAIN]: (28/1600): reward: -65.57682672142982, rates: 3.4231732551560006, loss: 1.2463569521903992, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 10, P: [0.0625, 0.3125, 0.1875, 0.1875, 0.5, 0.0625, 0.1875, 0.375, 0.875, 0.1875, 0.875, 0.5, 0.6875, 0.625, 0.3125, 0.375, 0.1875, 0.6875, 0.6875, 1.0]
[TRAIN]: (29/1600): reward: -72.43807077920064, rates: 2.5619292177945, loss: 1.3285127341747285, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 10, P: [0.4375, 0.9375, 0.9375, 1.0, 0.75, 0.8125, 0.375, 0.5, 0.3125, 0.375, 0.8125, 0.375, 0.125, 0.0625, 0.1875, 0.9375, 0.4375, 0.125, 0.3125, 0.9375]
[TRAIN]: (30/1600): reward: -67.58733204007149, rates: 2.412668029692245, loss: 1.2552306085824967, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 9, P: [0.4375, 0.9375, 0.5, 0.4375, 0.125, 0.4375, 0.9375, 0.625, 0.875, 0.4375, 0.5625, 1.0, 0.1875, 0.1875, 0.0, 0.3125, 0.3125, 0.75, 1.0, 0.125]
[TRAIN]: (31/1600): reward: -52.06280438601971, rates: 2.9371956147289087, loss: 1.2089407652616502, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 9, P: [0.4375, 0.3125, 0.8125, 1.0, 0.6875, 0.0625, 0.5, 1.0, 0.3125, 0.9375, 0.1875, 0.5, 0.9375, 0.3125, 0.3125, 0.375, 0.9375, 0.5, 0.3125, 0.125]
[TRAIN]: (32/1600): reward: -52.487871170043945, rates: 2.512128827989119, loss: 1.2793616145849227, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 11, P: [0.625, 0.1875, 0.3125, 0.4375, 0.125, 0.875, 0.8125, 0.625, 0.5, 0.0625, 0.4375, 0.5625, 0.125, 0.0625, 0.0, 0.125, 1.0, 0.0, 1.0, 0.5]
[TRAIN]: (33/1600): reward: -72.35479672253132, rates: 2.6452034070295545, loss: 1.2014911651611329, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 10, P: [0.5625, 0.75, 0.5625, 0.4375, 0.0625, 0.0, 0.0625, 0.8125, 0.25, 0.4375, 0.4375, 0.625, 0.5625, 0.125, 0.625, 1.0, 0.75, 0.4375, 0.625, 0.3125]
[TRAIN]: (34/1600): reward: -70.14419794082642, rates: 0.8558020605676373, loss: 1.1525813668966294, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 11, P: [0.625, 0.6875, 0.125, 0.0625, 0.3125, 0.9375, 0.125, 0.0625, 0.9375, 0.875, 1.0, 0.375, 0.25, 0.125, 1.0, 1.0, 0.375, 0.6875, 0.8125, 0.9375]
[TRAIN]: (35/1600): reward: -49.94192522764206, rates: 4.058074829186678, loss: 1.2171195834875106, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 14, P: [0.6875, 0.125, 0.125, 0.9375, 0.125, 0.75, 0.0625, 0.0625, 0.0, 0.3125, 0.3125, 0.625, 0.9375, 0.375, 0.6875, 0.8125, 0.5, 1.0, 0.25, 0.0625]
[TRAIN]: (36/1600): reward: -66.73094749450684, rates: 3.269052380723889, loss: 1.406940969824791, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 6, P: [0.1875, 0.0625, 0.25, 0.9375, 0.0, 0.0625, 0.4375, 0.0625, 0.125, 0.4375, 0.75, 0.125, 0.9375, 0.5, 0.75, 0.625, 0.1875, 0.625, 0.375, 0.6875]
[TRAIN]: (37/1600): reward: -72.13411870598793, rates: 2.8658814031896593, loss: 1.3945836216211318, rho: 0.4000000000000001, dynamic_rho: [[], [], [], [], []], transmit_actions: 16, P: [0.875, 0.125, 0.5, 0.4375, 0.1875, 0.25, 0.6875, 0.9375, 0.875, 0.8125, 0.3125, 0.875, 0.5, 0.8125, 0.375, 0.375, 0.0, 0.1875, 0.75, 0.625]
