[MAIN]: START
[ENV]: Started init Environment
[ENV]: ACTIONS_SPACE: 66, [(0.0, 0.09375, 0.4), (0.0, 0.6875, 0.4), (1.0, 0.09375, 0.4), (1.0, 0.59375, 0.4), (0.0, 0.46875, 0.4), (0.0, 0.5625, 0.4), (0.0, 0.28125, 0.4), (1.0, 0.6875, 0.4), (0.0, 0.375, 0.4), (0.0, 0.1875, 0.4), (1.0, 0.0625, 0.4), (1.0, 0.5, 0.4), (0.0, 0.4375, 0.4), (1.0, 0.0, 0.4), (0.0, 0.25, 0.4), (1.0, 0.96875, 0.4), (0.0, 0.8125, 0.4), (1.0, 0.25, 0.4), (0.0, 0.125, 0.4), (0.0, 0.65625, 0.4), (1.0, 0.8125, 0.4), (1.0, 0.34375, 0.4), (0.0, 0.0, 0.4), (1.0, 0.1875, 0.4), (1.0, 1.0, 0.4), (0.0, 0.96875, 0.4), (1.0, 0.78125, 0.4), (0.0, 0.15625, 0.4), (1.0, 0.71875, 0.4), (0.0, 0.9375, 0.4), (1.0, 0.375, 0.4), (1.0, 0.40625, 0.4), (0.0, 0.75, 0.4), (0.0, 0.625, 0.4), (0.0, 0.90625, 0.4), (1.0, 0.75, 0.4), (0.0, 0.03125, 0.4), (1.0, 0.53125, 0.4), (0.0, 0.53125, 0.4), (1.0, 0.46875, 0.4), (0.0, 0.875, 0.4), (1.0, 0.03125, 0.4), (1.0, 0.90625, 0.4), (0.0, 1.0, 0.4), (0.0, 0.78125, 0.4), (1.0, 0.21875, 0.4), (0.0, 0.84375, 0.4), (1.0, 0.84375, 0.4), (1.0, 0.3125, 0.4), (1.0, 0.125, 0.4), (0.0, 0.0625, 0.4), (1.0, 0.875, 0.4), (0.0, 0.40625, 0.4), (1.0, 0.15625, 0.4), (0.0, 0.5, 0.4), (0.0, 0.59375, 0.4), (1.0, 0.65625, 0.4), (1.0, 0.28125, 0.4), (1.0, 0.5625, 0.4), (1.0, 0.4375, 0.4), (1.0, 0.9375, 0.4), (1.0, 0.625, 0.4), (0.0, 0.71875, 0.4), (0.0, 0.3125, 0.4), (0.0, 0.34375, 0.4), (0.0, 0.21875, 0.4)]
[ENV]: Finished init Environment
[TRAIN]: actions: 66, observations: 75
[TRAIN]: CUDA: True
[TRAIN]: (1/1600): reward: -57.0, rates: 0, loss: 0, rho: 0.4000000000000001
[TRAIN]: (33/1600): reward: -35.10431411862373, rates: 2.895685827413877, loss: 1.7520148932933808, rho: 0.4000000000000001
[TRAIN]: (34/1600): reward: -45.91464012861252, rates: 3.0853598412165706, loss: 1.9633989036083221, rho: 0.4000000000000001
[TRAIN]: (35/1600): reward: -44.31239038705826, rates: 1.6876094371028207, loss: 1.892822027206421, rho: 0.4000000000000001
[TRAIN]: (36/1600): reward: -60.16693651676178, rates: 1.8330635020999149, loss: 1.9310393393039704, rho: 0.4000000000000001
[TRAIN]: (37/1600): reward: -62.88952565193176, rates: 0.11047424650543099, loss: 1.7827061235904693, rho: 0.4000000000000001
[TRAIN]: (38/1600): reward: -57.44472050666809, rates: 0.5552795464431077, loss: 1.817832589149475, rho: 0.4000000000000001
[TRAIN]: (39/1600): reward: -27.28256306052208, rates: 2.7174368457993143, loss: 1.7078992754220963, rho: 0.4000000000000001
[TRAIN]: (40/1600): reward: -50.0, rates: 0.0, loss: 1.7134736716747283, rho: 0.4000000000000001
[TRAIN]: (41/1600): reward: -50.62469291687012, rates: 2.375307031871758, loss: 1.862760704755783, rho: 0.4000000000000001
[TRAIN]: (42/1600): reward: -44.640917643904686, rates: 3.3590824029677693, loss: 1.8266076862812042, rho: 0.4000000000000001
[TRAIN]: (43/1600): reward: -50.358455181121826, rates: 0.6415448285422611, loss: 1.77825109064579, rho: 0.4000000000000001
[TRAIN]: (44/1600): reward: -59.373950481414795, rates: 0.6260494054507528, loss: 1.9406856298446655, rho: 0.4000000000000001
[TRAIN]: (45/1600): reward: -57.643046855926514, rates: 0.356953251446985, loss: 1.9409906625747682, rho: 0.4000000000000001
[TRAIN]: (46/1600): reward: -68.86188277602196, rates: 1.138117221400965, loss: 1.9550036191940308, rho: 0.4000000000000001
[TRAIN]: (47/1600): reward: -60.41425557434559, rates: 1.5857444404864545, loss: 2.2297440588474275, rho: 0.4000000000000001
[TRAIN]: (48/1600): reward: -37.83754543401301, rates: 3.1624546038476993, loss: 1.9211195886135102, rho: 0.4000000000000001
[TRAIN]: (49/1600): reward: -66.51705861091614, rates: 0.48294142761384284, loss: 2.0302641332149505, rho: 0.4000000000000001
[TRAIN]: (50/1600): reward: -70.45388406515121, rates: 1.5461159478426074, loss: 2.0882130563259125, rho: 0.4000000000000001
[TRAIN]: (51/1600): reward: -43.75202402472496, rates: 3.2479758399734666, loss: 2.096110647916794, rho: 0.4000000000000001
[TRAIN]: (52/1600): reward: -65.56555414199829, rates: 1.4344459044850546, loss: 1.9113176882266998, rho: 0.4000000000000001
[TRAIN]: (53/1600): reward: -49.04408347606659, rates: 0.9559165421012242, loss: 2.092432290315628, rho: 0.4000000000000001
[TRAIN]: (54/1600): reward: -45.22951352596283, rates: 1.7704864328530368, loss: 1.982662272453308, rho: 0.4000000000000001
[TRAIN]: (55/1600): reward: -33.2499341070652, rates: 2.750066010295467, loss: 2.067277669906616, rho: 0.4000000000000001
[TRAIN]: (56/1600): reward: -53.432195484638214, rates: 0.567804595520985, loss: 2.256240314245224, rho: 0.4000000000000001
[TRAIN]: (57/1600): reward: -44.748788475990295, rates: 1.2512115563458057, loss: 2.0301685988903047, rho: 0.4000000000000001
[TRAIN]: (58/1600): reward: -48.90421652793884, rates: 1.0957833697598476, loss: 2.289377874135971, rho: 0.4000000000000001
[TRAIN]: (59/1600): reward: -38.464558497071266, rates: 2.5354414583655664, loss: 1.96387540102005, rho: 0.4000000000000001
[TRAIN]: (60/1600): reward: -58.91253221035004, rates: 1.0874678452570599, loss: 1.8869705557823182, rho: 0.4000000000000001
[TRAIN]: (61/1600): reward: -56.91959357261658, rates: 0.08040646461922651, loss: 1.838028472661972, rho: 0.4000000000000001
[TRAIN]: (62/1600): reward: -57.436239808797836, rates: 2.563760110694651, loss: 2.097562974691391, rho: 0.4000000000000001
[TRAIN]: (63/1600): reward: -57.65410089492798, rates: 0.345899113640908, loss: 2.064744156599045, rho: 0.4000000000000001
[TRAIN]: (64/1600): reward: -55.0, rates: 0, loss: 2.1391224920749665, rho: 0.4000000000000001
[TRAIN]: (65/1600): reward: -61.030654072761536, rates: 0.9693459361809369, loss: 2.1160264372825623, rho: 0.4000000000000001
[TRAIN]: (66/1600): reward: -53.0, rates: 0, loss: 1.798082822561264, rho: 0.4000000000000001
[TRAIN]: (67/1600): reward: -48.88585864752531, rates: 4.114141433518824, loss: 2.0460996985435487, rho: 0.4000000000000001
[TRAIN]: (68/1600): reward: -61.76865071058273, rates: 1.2313492325311735, loss: 2.0057312190532683, rho: 0.4000000000000001
[TRAIN]: (69/1600): reward: -43.91699576377869, rates: 2.0830042366698036, loss: 1.9908317059278489, rho: 0.4000000000000001
[TRAIN]: (70/1600): reward: -49.41492533683777, rates: 1.5850746866351828, loss: 1.7866951465606689, rho: 0.4000000000000001
[TRAIN]: (71/1600): reward: -55.33881360292435, rates: 0.6611864043033648, loss: 1.8800592601299286, rho: 0.4000000000000001
[TRAIN]: (72/1600): reward: -43.072809994220734, rates: 1.927190141307174, loss: 1.8418529480695724, rho: 0.4000000000000001
[TRAIN]: (73/1600): reward: -33.38507658243179, rates: 2.6149233190989944, loss: 1.8759609699249267, rho: 0.4000000000000001
[TRAIN]: (74/1600): reward: -44.68597161769867, rates: 0.31402831327340497, loss: 1.8207136511802673, rho: 0.4000000000000001
[TRAIN]: (75/1600): reward: -70.0, rates: 0, loss: 1.7958398103713988, rho: 0.4000000000000001
[TRAIN]: (76/1600): reward: -52.3277587890625, rates: 0.6722413683737662, loss: 1.9000420093536377, rho: 0.4000000000000001
[TRAIN]: (77/1600): reward: -62.2300621420145, rates: 1.7699377159274008, loss: 1.8457107663154602, rho: 0.4000000000000001
[TRAIN]: (78/1600): reward: -41.71528363227844, rates: 2.2847164475383366, loss: 1.9283082783222198, rho: 0.4000000000000001
[TRAIN]: (79/1600): reward: -54.75963044166565, rates: 1.2403695911229478, loss: 1.8193295091390609, rho: 0.4000000000000001
[TRAIN]: (80/1600): reward: -63.79513901472092, rates: 0.20486100067146865, loss: 1.8570052206516265, rho: 0.4000000000000001
[TRAIN]: (81/1600): reward: -48.0268956720829, rates: 1.9731043655390046, loss: 2.1254944145679473, rho: 0.4000000000000001
[TRAIN]: (82/1600): reward: -58.42643713951111, rates: 0.5735628178906105, loss: 2.011428338289261, rho: 0.4000000000000001
[TRAIN]: (83/1600): reward: -50.49966049194336, rates: 0.5003394109050409, loss: 2.052512976527214, rho: 0.4000000000000001
[TRAIN]: (84/1600): reward: -46.27355682849884, rates: 0.7264431500811354, loss: 2.0371350169181826, rho: 0.4000000000000001
[TRAIN]: (85/1600): reward: -53.65989464521408, rates: 0.34010536200622415, loss: 1.9880301833152771, rho: 0.4000000000000001
[TRAIN]: (86/1600): reward: -59.36026781797409, rates: 1.6397321152425999, loss: 2.197479563951492, rho: 0.4000000000000001
[TRAIN]: (87/1600): reward: -50.23435378074646, rates: 0.765646162847329, loss: 2.0169458091259003, rho: 0.4000000000000001
[TRAIN]: (88/1600): reward: -61.71076059341431, rates: 1.2892393415341652, loss: 2.0742731213569643, rho: 0.4000000000000001
[TRAIN]: (89/1600): reward: -52.319538950920105, rates: 1.6804609327725637, loss: 2.0300450921058655, rho: 0.4000000000000001
[TRAIN]: (90/1600): reward: -64.0, rates: 0.0, loss: 2.1294920563697817, rho: 0.4000000000000001
[TRAIN]: (91/1600): reward: -53.85706877708435, rates: 0.14293120369239776, loss: 1.9173522174358368, rho: 0.4000000000000001
[TRAIN]: (92/1600): reward: -58.59149408340454, rates: 0.40850589618455924, loss: 1.9783866345882415, rho: 0.4000000000000001
[TRAIN]: (93/1600): reward: -51.84583568572998, rates: 1.1541643545071358, loss: 1.9750951051712036, rho: 0.4000000000000001
[TRAIN]: (94/1600): reward: -68.57530176639557, rates: 0.42469822037195637, loss: 1.8545466184616088, rho: 0.4000000000000001
[TRAIN]: (95/1600): reward: -33.83186948299408, rates: 2.168130553646326, loss: 1.9211370527744294, rho: 0.4000000000000001
[TRAIN]: (96/1600): reward: -45.98499262332916, rates: 2.015007441430459, loss: 1.9921549201011657, rho: 0.4000000000000001
[TRAIN]: (97/1600): reward: -68.53132957220078, rates: 0.46867031968484263, loss: 1.9568904280662536, rho: 0.4000000000000001
[TRAIN]: (98/1600): reward: -61.58989870548248, rates: 1.4101012970888602, loss: 1.8533112287521363, rho: 0.4000000000000001
[TRAIN]: (99/1600): reward: -64.42450904846191, rates: 1.5754909881462602, loss: 1.8436002492904664, rho: 0.4000000000000001
[TRAIN]: (100/1600): reward: -41.097006261348724, rates: 2.90299370686626, loss: 1.9889291286468507, rho: 0.4000000000000001
[TRAIN]: (101/1600): reward: -44.00572547316551, rates: 1.9942746490958245, loss: 1.9883705496788024, rho: 0.4000000000000001
[TRAIN]: (102/1600): reward: -45.65502083301544, rates: 1.3449790709822373, loss: 1.8673399627208709, rho: 0.4000000000000001
[TRAIN]: (103/1600): reward: -24.13496771454811, rates: 2.8650323046108426, loss: 2.1787442803382873, rho: 0.4000000000000001
